Treebank,Number of Sentences,Failures,Total,acl,advcl,ccomp,nmod,obj,obl,parataxis,root
es_gsd-ud-dev,1400,0,1,,,,1.0,,,,
es_gsd-ud-train,14187,0,8,,,,7.0,1.0,,,
de_hdt-ud-test,18459,0,16,,,,,,,,16.0
de_hdt-ud-train,153035,0,168,2.0,,9.0,,,,7.0,150.0
de_hdt-ud-dev,18434,0,28,,,,,,,2.0,26.0
ga_twittirish-ud-test,866,0,1,,,,,,,,1.0
ga_twittirish-ud-train,866,0,1,,,,1.0,,,,
ga_idt-ud-train,4005,0,4,,1.0,,1.0,,1.0,,1.0
ga_idt-ud-test,454,0,2,,,,,,1.0,1.0,
de_lit-ud-test,1920,0,1,,,,,,,,1.0
tr_boun-ud-train,7803,0,1,,,,,,1.0,,
