Treebank,Number of Sentences,Failures,Total,acl,advcl,appos,ccomp,discourse,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,xcomp
es_gsd-ud-dev,1400,0,2,,,,,,2.0,,,,,,,,,
es_gsd-ud-train,14187,0,3,,,,,,3.0,,,,,,,,,
fr_pud-ud-test,1000,0,98,,,,,,46.0,,,,52.0,,,,,
fr_fqb-ud-test,2289,0,75,,,,,,29.0,,,,46.0,,,,,
fr_gsd-ud-test,416,0,35,,,,,,14.0,,,,21.0,,,,,
fr_gsd-ud-train,14450,0,1426,,1.0,,2.0,,445.0,,,,967.0,4.0,,,7.0,
fr_gsd-ud-dev,1476,0,156,,2.0,,,,42.0,,,,110.0,,,,2.0,
fr_rhapsodie-ud-train,1288,0,61,,,1.0,,,14.0,,,1.0,38.0,,,5.0,2.0,
fr_rhapsodie-ud-dev,1081,0,25,,1.0,,,,4.0,,,,19.0,,,,1.0,
fr_rhapsodie-ud-test,840,0,29,,,,,,9.0,,,,18.0,,,,2.0,
fr_parisstories-ud-dev,692,0,23,1.0,,,1.0,,6.0,,,,15.0,,,,,
fr_parisstories-ud-train,1387,0,62,,,1.0,,1.0,15.0,,,,39.0,,,3.0,2.0,1.0
fr_parisstories-ud-test,697,0,17,,,,,,7.0,,,,9.0,,,,1.0,
de_lit-ud-test,1920,0,1,,,,,,1.0,,,,,,,,,
qaf_arabizi-ud-train,1003,0,43,,,,,,10.0,1.0,,,28.0,,3.0,,1.0,
qaf_arabizi-ud-test,145,0,12,,,,,,,,1.0,,11.0,,,,,
qaf_arabizi-ud-dev,139,0,7,,,,,,2.0,,,,4.0,,1.0,,,
fr_partut-ud-dev,107,0,12,,,,,,3.0,,,,8.0,,,,1.0,
fr_partut-ud-test,110,0,3,,,,,,2.0,,,,1.0,,,,,
fr_partut-ud-train,803,0,131,,1.0,,,,56.0,,,,74.0,,,,,
fr_sequoia-ud-test,456,0,50,,1.0,,,,28.0,,,,21.0,,,,,
fr_sequoia-ud-train,2231,0,230,,,,,,103.0,,,,127.0,,,,,
fr_sequoia-ud-dev,412,0,47,,,,,,17.0,,,,29.0,1.0,,,,
