Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,cc,ccomp,compound,csubj,dep,discourse,dislocated,expl,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,vocative,xcomp
uk_iu-ud-dev,673,0,153,,1.0,,,1.0,,,1.0,,,,,,,,,,,43,,1.0,,101,,3.0,,,2.0,,
uk_iu-ud-train,5521,0,1401,,3.0,11.0,,8.0,,2.0,,,,,,,,15.0,,,,291,,,,1021,15.0,23.0,,,11.0,,1.0
uk_iu-ud-test,898,0,254,,2.0,1.0,,3.0,,,1.0,,,,,,,,,,,66,,,,174,2.0,4.0,,,1.0,,
orv_rnc-ud-dev,943,0,304,,,,1.0,3.0,,1.0,,,,,,,,2.0,,,,43,1.0,,,233,2.0,,,,18.0,,
orv_rnc-ud-train,1868,0,651,,10.0,4.0,1.0,20.0,,1.0,,,,,,,,11.0,,,,119,,1.0,2.0,410,13.0,7.0,,,52.0,,
orv_rnc-ud-test,717,0,283,,6.0,,,2.0,,,,,,,1.0,,,,,,,30,1.0,1.0,,229,3.0,,,,10.0,,
be_hse-ud-train,22853,0,4260,,4.0,6.0,8.0,13.0,,12.0,,4.0,25.0,1.0,,,,3.0,,1.0,,1240,3.0,8.0,3.0,2710,5.0,52.0,,,161.0,,1.0
be_hse-ud-dev,1301,0,261,,,,,2.0,,,,,,,,,,1.0,,,,78,,,,168,1.0,1.0,,,10.0,,
be_hse-ud-test,1077,0,218,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,58,,,,138,,4.0,,,14.0,,
orv_ruthenian-ud-test,390,0,171,,2.0,,1.0,1.0,,,,,,,,,,,,,,16,,,,149,1.0,,,,1.0,,
orv_ruthenian-ud-train,2789,0,1193,,,3.0,,73.0,,,,,,,1.0,,,5.0,,,,304,,2.0,1.0,768,19.0,1.0,,1.0,9.0,,6.0
orv_ruthenian-ud-dev,344,0,70,,,,,2.0,,,,,,,,,,4.0,,,,18,,,,45,1.0,,,,,,
cu_proiel-ud-train,18327,0,1958,,48.0,25.0,19.0,12.0,,,,,,,3.0,,,,,,,94,6.0,52.0,6.0,1569,47.0,1.0,,,52.0,,24.0
cu_proiel-ud-test,2096,0,295,,6.0,3.0,4.0,5.0,,1.0,,,,,,,,,,,,10,,11.0,3.0,244,3.0,,,,1.0,,4.0
