Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,cc,ccomp,compound,csubj,dep,discourse,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
kpv_ikdp-ud-test,214,0,1,,,,,,,,,,,,,,,,,,,,1,,,,
ru_taiga-ud-train,16045,0,458,,2.0,,1.0,2.0,,4.0,1.0,,1.0,,,1.0,1.0,,128.0,1.0,2.0,2.0,276,2.0,10.0,24.0,
ru_taiga-ud-dev,946,0,24,,,,,,,,,,,,,,,,3.0,,,,19,,,2.0,
ru_taiga-ud-test,881,0,27,,,,,,,,,,,,,,,,10.0,,1.0,,14,1.0,,1.0,
ru_syntagrus-ud-train,69630,0,3237,6.0,5.0,6.0,1.0,3.0,1.0,1.0,,1.0,,,,,1.0,1.0,945.0,18.0,22.0,,2067,5.0,106.0,42.0,6.0
ru_syntagrus-ud-dev,8906,0,387,,1.0,,2.0,,,,,,,,,,,,128.0,4.0,,,237,1.0,11.0,3.0,
ru_syntagrus-ud-test,8800,0,418,1.0,,,,1.0,,,,,,,,1.0,,,124.0,6.0,2.0,,264,,16.0,3.0,
ru_poetry-ud-test,728,0,25,,,,,,,,,,,,,,,,5.0,,,,20,,,,
ru_poetry-ud-dev,789,0,34,,,,,,,,,,,,,,,,5.0,,,,28,,1.0,,
ru_poetry-ud-train,3569,0,124,,,,,,,,,,,,,,,,15.0,,,,101,3.0,1.0,4.0,
ru_pud-ud-test,1000,0,59,,,,,,,,,,,,,,,,21.0,,5.0,,33,,,,
ru_gsd-ud-test,601,0,47,,,,,,,,,,,,,,,,28.0,,,,18,,,1.0,
ru_gsd-ud-dev,579,0,35,,,,,,,,,,,,,,,,20.0,,,,15,,,,
ru_gsd-ud-train,3850,0,231,,1.0,,,2.0,,,,,,,1.0,,,,123.0,,,,101,3.0,,,
bg_btb-ud-train,8907,0,1928,,1.0,2.0,4.0,,,6.0,,1.0,,1.0,,419.0,,,900.0,,,6.0,558,,2.0,28.0,
bg_btb-ud-test,1116,0,229,,,,,,,1.0,,,,,,44.0,,,113.0,,,3.0,68,,,,
bg_btb-ud-dev,1115,0,234,,,,1.0,,,,,,,,,53.0,,,105.0,1.0,,,68,,,6.0,
