Treebank,Number of Sentences,Failures,Total,advcl,advmod,nmod,nummod,obl,parataxis,reparandum,root
en_partut-ud-dev,156,0,1,,,1.0,,,,,
en_partut-ud-train,1781,0,3,,,,1.0,2.0,,,
ga_twittirish-ud-dev,864,0,1,,,,,1.0,,,
en_gum-ud-train,9521,0,19,1.0,,2.0,,14.0,1.0,,1.0
en_gum-ud-test,1285,0,2,,,1.0,,1.0,,,
en_gum-ud-dev,1341,0,2,,,,,2.0,,,
en_lines-ud-train,3176,0,3,1.0,1.0,,,1.0,,,
en_lines-ud-dev,1032,0,0,,,,,,,,
en_lines-ud-test,1035,0,3,,,,,3.0,,,
en_ewt-ud-test,2077,0,3,,,,,3.0,,,
en_ewt-ud-dev,2001,0,2,,,,,2.0,,,
en_ewt-ud-train,12544,0,28,,,2.0,,26.0,,,
pcm_nsc-ud-train,7279,0,20,10.0,1.0,,,3.0,,1.0,5.0
pcm_nsc-ud-test,972,0,1,1.0,,,,,,,
en_pud-ud-test,1000,0,12,,,,,12.0,,,
