Treebank,Number of Sentences,Failures,Total,_,acl,ccomp,dislocated,nmod,obl
en_partut-ud-dev,156,0,1,,,,,,1.0
en_partut-ud-train,1781,0,1,,,,,,1.0
en_atis-ud-train,4274,0,1,,,,,,1.0
en_gum-ud-train,9521,0,11,1.0,1.0,,,6.0,3.0
en_gum-ud-test,1285,0,1,,,,,1.0,
en_gum-ud-dev,1341,0,2,,,,,1.0,1.0
en_lines-ud-train,3176,0,6,,,,1.0,,5.0
en_lines-ud-dev,1032,0,4,,,,,,4.0
en_lines-ud-test,1035,0,1,,,,,1.0,
en_ewt-ud-test,2077,0,2,,,,,1.0,1.0
en_ewt-ud-dev,2001,0,1,,,,,,1.0
en_ewt-ud-train,12544,0,15,,,,,5.0,10.0
en_gentle-ud-test,1334,0,1,,,1.0,,,
en_pud-ud-test,1000,0,2,,,,,2.0,
