Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,dep,discourse,dislocated,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
en_partut-ud-train,1781,0,1,,,,,,,,,,,,,,,,1.0,,,,,,
de_hdt-ud-test,18459,0,4,,,,,,,,,,,,4.0,,,,,,,,,,
de_hdt-ud-train,153035,0,4,,,,,,,,,,,,4.0,,,,,,,,,,
de_hdt-ud-dev,18434,0,1,,,,,,,,,,,,1.0,,,,,,,,,,
sv_talbanken-ud-train,4303,0,1,,,,,,,,,,,,1.0,,,,,,,,,,
frm_profiterole-ud-test,512,0,175,2.0,1.0,,,,,,,,2.0,,6.0,,,2.0,144.0,,,,1.0,,17.0
pt_petrogold-ud-test,1039,0,1,,,,,,,,,,,,,,,,1.0,,,,,,
pt_petrogold-ud-dev,737,0,1,,,,,,,,,,,,,,,,1.0,,,,,,
fr_pud-ud-test,1000,0,528,,4.0,7.0,,1.0,,,,,,2.0,116.0,,,,326.0,,1.0,,2.0,,69.0
fr_fqb-ud-test,2289,0,417,29.0,5.0,,,,,,,,,,94.0,,,,273.0,,,,,,16.0
fr_gsd-ud-test,416,0,249,8.0,2.0,3.0,,3.0,,,,,,,62.0,1.0,1.0,,138.0,2.0,,,11.0,,18.0
fr_gsd-ud-train,14450,0,8685,141.0,31.0,48.0,12.0,70.0,2.0,,,,,3.0,1869.0,12.0,16.0,28.0,5616.0,28.0,10.0,,254.0,,545.0
fr_gsd-ud-dev,1476,0,909,22.0,4.0,3.0,1.0,3.0,1.0,,,,,,194.0,,1.0,2.0,586.0,4.0,,,33.0,,55.0
fr_rhapsodie-ud-train,1288,0,361,4.0,4.0,6.0,6.0,6.0,,,,,,,40.0,1.0,2.0,3.0,245.0,,,11.0,13.0,,20.0
fr_rhapsodie-ud-dev,1081,0,230,5.0,7.0,1.0,1.0,6.0,,,,,,,23.0,,,1.0,154.0,1.0,,6.0,9.0,,16.0
fr_rhapsodie-ud-test,840,0,190,6.0,5.0,5.0,1.0,2.0,1.0,1.0,,,,,29.0,,,1.0,121.0,1.0,,6.0,5.0,,6.0
fr_parisstories-ud-dev,692,0,127,4.0,1.0,,1.0,7.0,,,2.0,,,,13.0,,,,75.0,,,,6.0,,18.0
fr_parisstories-ud-train,1387,0,300,7.0,3.0,2.0,3.0,5.0,,1.0,,,,,34.0,,,1.0,180.0,,,11.0,10.0,,43.0
fr_parisstories-ud-test,697,0,157,2.0,1.0,3.0,1.0,1.0,,,,,,,21.0,,,3.0,94.0,,,5.0,7.0,,19.0
pt_bosque-ud-dev,1172,0,1,,,,,,,,,,,,,,,,,,,,1.0,,
nl_lassysmall-ud-train,13817,0,1,,,,,,,,,,,,,,,,,,1.0,,,,
de_lit-ud-test,1920,0,2,1.0,,,,,,,,,,,,,,,1.0,,,,,,
lij_glt-ud-test,296,0,121,2.0,3.0,5.0,,,,,,,,,12.0,,,,56.0,,,,2.0,,41.0
lij_glt-ud-train,20,0,3,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0
qaf_arabizi-ud-train,1003,0,245,1.0,,1.0,,2.0,,,,,,,83.0,5.0,,8.0,122.0,,18.0,,3.0,1.0,1.0
qaf_arabizi-ud-test,145,0,32,,,,,,,,,,,,9.0,1.0,,2.0,17.0,,2.0,,1.0,,
qaf_arabizi-ud-dev,139,0,40,,,,,,,,,,,,11.0,,,,23.0,,4.0,,1.0,,1.0
ha_southernautogramm-ud-test,1918,0,131,2.0,1.0,17.0,,,,,,1.0,,,6.0,,,3.0,75.0,,,3.0,20.0,,3.0
gd_arcosg-ud-test,545,0,4,,,,,,,,,,,,3.0,,,,1.0,,,,,,
gd_arcosg-ud-train,3541,0,34,,,,,,,,,,,,10.0,,,,20.0,,,,2.0,,2.0
gd_arcosg-ud-dev,655,0,8,,,,,,,,,,,,4.0,,,,2.0,,,,1.0,,1.0
de_gsd-ud-train,13814,0,1,,,,,,,,,,,,1.0,,,,,,,,,,
fr_partut-ud-dev,107,0,36,1.0,1.0,1.0,,,,,,,,,4.0,,,,24.0,,,,,,5.0
fr_partut-ud-test,110,0,92,,9.0,7.0,,,,,,,,,14.0,,,,61.0,,,,,,1.0
fr_partut-ud-train,803,0,574,17.0,13.0,18.0,2.0,3.0,,,,,,,122.0,,2.0,,353.0,,,,1.0,,43.0
fr_sequoia-ud-test,456,0,238,1.0,1.0,1.0,,2.0,,,,,,,56.0,,,,151.0,1.0,,,7.0,,18.0
fr_sequoia-ud-train,2231,0,1157,26.0,4.0,8.0,,22.0,1.0,7.0,,,,,237.0,,1.0,8.0,740.0,8.0,,,27.0,,68.0
fr_sequoia-ud-dev,412,0,249,6.0,,3.0,,4.0,,1.0,,,,,49.0,,,3.0,165.0,1.0,,,4.0,,13.0
