Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,discourse,nmod,nsubj,nummod,obl,orphan,parataxis,root
xcl_caval-ud-train,3185,0,32,,2.0,,,,5.0,,3.0,20.0,1.0,,1.0
xcl_caval-ud-dev,411,0,1,,,,,,,,,1.0,,,
xcl_caval-ud-test,550,0,3,,,,,,,,,3.0,,,
hy_bsut-ud-train,1226,0,16,,,,,,,,,5.0,,7.0,4.0
hy_bsut-ud-test,595,0,2,,,,,,,,,,,2.0,
hy_bsut-ud-dev,479,0,8,,,,1.0,,1.0,1.0,,3.0,,2.0,
hy_armtdp-ud-train,1974,0,16,,,1.0,,,,,,2.0,,13.0,
hy_armtdp-ud-test,277,0,1,,,,,,,,,,,1.0,
hyw_armtdp-ud-test,680,0,7,,,,,,,,,3.0,,4.0,
hyw_armtdp-ud-dev,694,0,5,,,,,,,,,4.0,,1.0,
hyw_armtdp-ud-train,5282,0,38,1.0,,,,3.0,1.0,,,17.0,,16.0,
