Treebank,Number of Sentences,Failures,Total,acl,ccomp,csubj,flat,nmod,nsubj,obj,obl,root
tr_pud-ud-test,1000,0,8,,,,,5.0,,1.0,,2.0
tr_atis-ud-train,4274,0,1,,,,,,,,,1.0
tr_kenet-ud-dev,1646,0,1,,,,,1.0,,,,
tr_kenet-ud-test,1643,0,1,,,,,1.0,,,,
tr_kenet-ud-train,15398,0,13,2.0,1.0,,1.0,4.0,1.0,1.0,1.0,2.0
ota_boun-ud-test,400,0,0,,,,,,,,,
tr_imst-ud-train,3435,0,6,,,,,1.0,,1.0,,4.0
tr_imst-ud-dev,1100,0,1,,,,,1.0,,,,
tr_imst-ud-test,1100,0,3,,,,,3.0,,,,
tr_boun-ud-dev,979,0,2,,1.0,,,1.0,,,,
tr_boun-ud-test,979,0,1,,,,,,,1.0,,
tr_boun-ud-train,7803,0,18,1.0,,1.0,,2.0,1.0,2.0,6.0,5.0
tr_penn-ud-dev,622,0,3,,,1.0,,1.0,,,1.0,
tr_penn-ud-test,924,0,3,1.0,,,,,1.0,,1.0,
tr_penn-ud-train,14850,0,18,2.0,2.0,,,8.0,2.0,,1.0,3.0
