Treebank,Number of Sentences,Failures,Total,acl,nmod,obl,orphan
la_circse-ud-test,1263,0,2,,,2,
la_perseus-ud-test,939,0,1,,,1,
la_llct-ud-dev,850,0,24,3.0,,21,
la_llct-ud-test,884,0,19,3.0,,16,
la_llct-ud-train,7289,0,60,4.0,,56,
la_proiel-ud-test,1260,0,1,,,1,
la_proiel-ud-dev,1233,0,1,,,1,
la_proiel-ud-train,16196,0,22,,,21,1.0
la_udante-ud-train,926,0,1,,,1,
la_udante-ud-test,419,0,4,,,4,
la_udante-ud-dev,376,0,3,,,3,
la_ittb-ud-dev,2101,0,1,,,1,
la_ittb-ud-test,2101,0,1,,,1,
la_ittb-ud-train,22775,0,13,,1.0,12,
