Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,cop,csubj,dep,expl,flat,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,xcomp
sl_ssj-ud-test,1282,0,28,,,,,,,,,,,,,,,,,4.0,,,,23.0,1.0,,,,,
sl_ssj-ud-dev,1250,0,15,,,,,,,,,,,,,,,,,5.0,,,,10.0,,,,,,
sl_ssj-ud-train,10903,0,174,,,,,,,,,,,,,,,,,44.0,,,,129.0,,,,,1.0,
ar_nyuad-ud-train,15789,0,911,,,,,,,,88.0,,,,,,,235.0,,2.0,,1.0,567.0,,,,,,9.0,9.0
ar_nyuad-ud-dev,1986,0,85,,,,,,,,4.0,,,,,,,35.0,,,,,45.0,,,,,,,1.0
ar_nyuad-ud-test,1963,0,70,,,,,,,,6.0,,,,,,,21.0,,1.0,,,40.0,,,,,,1.0,1.0
hr_set-ud-dev,960,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
hr_set-ud-train,6914,0,26,,,,,,,,,,,,,,,,,18.0,,,,7.0,,1.0,,,,
hr_set-ud-test,1136,0,8,,,,,,,,,,,,,,,,,7.0,,,,1.0,,,,,,
sk_snk-ud-dev,1060,0,37,,,,,,,,,,,,,,,,,11.0,,,,26.0,,,,,,
sk_snk-ud-test,1061,0,46,,,,,,,,,,,,,,,,,8.0,,,,38.0,,,,,,
sk_snk-ud-train,8483,0,228,,,,,1.0,,,,,,,1.0,,,,,27.0,,,,198.0,,,,,1.0,
cs_pud-ud-test,1000,0,79,,1.0,,,,,,,,,,,,,,,29.0,,,,48.0,,,,,1.0,
hsb_ufal-ud-test,623,0,44,,,,,,,,,,,,,,,,,13.0,,,6.0,25.0,,,,,,
hsb_ufal-ud-train,23,0,2,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,
sr_set-ud-train,3328,0,6,,,,,,,,,,,,,,,,,4.0,,,,2.0,,,,,,
cs_cltt-ud-dev,316,0,65,,,,,,,,,,,,,,,,,14.0,,,,51.0,,,,,,
cs_cltt-ud-train,467,0,105,,,,1.0,,,,,,,,,,,,,40.0,,,,64.0,,,,,,
cs_cltt-ud-test,338,0,149,,,1.0,,,,,,,,,6.0,,,,,37.0,,,,105.0,,,,,,
cs_fictree-ud-dev,1309,0,71,,,,,,,,1.0,,,,4.0,,,,,5.0,,,,61.0,,,,,,
cs_fictree-ud-train,10160,0,563,,,,1.0,5.0,,,3.0,,,,4.0,,,,,50.0,,,1.0,491.0,,,,,8.0,
cs_fictree-ud-test,1291,0,64,,,,,,,,,,,,,,,,,3.0,,,,60.0,,,,,1.0,
sl_sst-ud-train,4558,0,16,,,,,,,,,,,,,,,,,1.0,,,,13.0,,,,,2.0,
sl_sst-ud-test,1041,0,6,,,,,,,,,,,,,,,,,2.0,,,,4.0,,,,,,
sl_sst-ud-dev,505,0,7,,,,,,,,,,,,,,,,,1.0,,,,5.0,,,,1.0,,
cs_pdt-ud-test,10146,0,592,14.0,1.0,1.0,4.0,3.0,,,2.0,3.0,1.0,1.0,10.0,,,,2.0,127.0,1.0,2.0,1.0,404.0,,,2.0,,12.0,1.0
cs_pdt-ud-dev,9270,0,625,11.0,2.0,1.0,1.0,3.0,1.0,2.0,,1.0,,,10.0,,,,1.0,134.0,1.0,1.0,1.0,438.0,1.0,,4.0,,10.0,2.0
cs_pdt-ud-train,68491,0,4429,65.0,24.0,15.0,12.0,13.0,3.0,12.0,12.0,9.0,2.0,2.0,56.0,6.0,1.0,2.0,3.0,1096.0,4.0,9.0,16.0,2964.0,,,22.0,,74.0,7.0
cs_cac-ud-dev,603,0,68,,,,,,,,,,,,,,,,,24.0,,,,44.0,,,,,,
cs_cac-ud-train,23478,0,2455,1.0,5.0,7.0,1.0,16.0,,1.0,1.0,1.0,,,30.0,,,,,667.0,,10.0,,1688.0,,1.0,,,25.0,1.0
cs_cac-ud-test,628,0,68,,,,,1.0,,,,,,,,,,,,19.0,,1.0,,46.0,,,,,1.0,
cs_poetry-ud-test,297,0,48,,,,,1.0,,,,,,,,,,,,6.0,,,,41.0,,,,,,
