Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,nmod,obj,obl,parataxis,reparandum,root,xcomp
en_partut-ud-dev,156,0,2,,,,,,,,,2.0,,,,
en_partut-ud-train,1781,0,49,,2.0,,,,,3.0,,42.0,,,2.0,
en_partut-ud-test,153,0,10,,,,,,,1.0,,9.0,,,,
ga_twittirish-ud-train,866,0,1,,,,,,,,,1.0,,,,
en_atis-ud-test,586,0,5,,,,,,,3.0,,2.0,,,,
en_atis-ud-train,4274,0,28,,,,,,,17.0,,11.0,,,,
en_atis-ud-dev,572,0,4,,,,,,,2.0,,2.0,,,,
en_gum-ud-train,9521,0,229,1.0,,,,,,24.0,,201.0,,2.0,1.0,
en_gum-ud-test,1285,0,34,,,,,,1.0,4.0,,27.0,1.0,1.0,,
en_gum-ud-dev,1341,0,19,,,,,,,1.0,,18.0,,,,
en_lines-ud-train,3176,0,137,1.0,2.0,1.0,,,,3.0,1.0,129.0,,,,
en_lines-ud-dev,1032,0,36,,,,,,,,,36.0,,,,
en_lines-ud-test,1035,0,35,,,,,,,,,35.0,,,,
en_ewt-ud-test,2077,0,19,,,,,,1.0,,,18.0,,,,
en_ewt-ud-dev,2001,0,24,1.0,,,,1.0,,,,22.0,,,,
en_ewt-ud-train,12544,0,180,3.0,3.0,,,,,10.0,,162.0,,,2.0,
pcm_nsc-ud-dev,990,0,2,,,,,,,,,2.0,,,,
pcm_nsc-ud-train,7279,0,28,1.0,,,,,,,,25.0,,,,2.0
pcm_nsc-ud-test,972,0,2,,,,,,,,,2.0,,,,
de_gsd-ud-train,13814,0,1,,,,1.0,,,,,,,,,
en_pronouns-ud-test,285,0,5,,,,,,,,,,,,5.0,
en_gentle-ud-test,1334,0,16,,,,,,,1.0,,13.0,,,2.0,
en_pud-ud-test,1000,0,29,,,,,,,1.0,,28.0,,,,
