Treebank,Number of Sentences,Failures,Total,acl,advcl,ccomp,dislocated,nmod,obl,parataxis,root
en_partut-ud-train,1781,0,28,1.0,,,,17.0,10.0,,
en_partut-ud-test,153,0,1,,1.0,,,,,,
en_gum-ud-train,9521,0,47,,,,,13.0,34.0,,
en_gum-ud-test,1285,0,12,,,1.0,,4.0,6.0,,1.0
en_gum-ud-dev,1341,0,6,,,,,2.0,4.0,,
en_lines-ud-train,3176,0,19,1.0,,,,3.0,15.0,,
en_lines-ud-dev,1032,0,8,1.0,1.0,,,1.0,5.0,,
en_lines-ud-test,1035,0,8,,,,1.0,2.0,5.0,,
en_ewt-ud-test,2077,0,9,,,,,3.0,5.0,1.0,
en_ewt-ud-dev,2001,0,11,,,,,8.0,3.0,,
en_ewt-ud-train,12544,0,74,,,,,35.0,39.0,,
pcm_nsc-ud-train,7279,0,9,,,,,2.0,5.0,,2.0
de_gsd-ud-train,13814,0,1,,,,,,1.0,,
en_gentle-ud-test,1334,0,10,,,,,3.0,6.0,1.0,
en_pud-ud-test,1000,0,13,,,,,6.0,7.0,,
