Treebank,Number of Sentences,Failures,Total,advcl,advmod,appos,ccomp,nmod,nummod,obl,orphan,root
el_gud-ud-test,736,0,1,,,,,,,1.0,,
grc_perseus-ud-dev,1137,0,7,,,,,,,7.0,,
grc_perseus-ud-train,11476,0,18,,,,,1.0,,17.0,,
grc_perseus-ud-test,1306,0,8,,,,,,,8.0,,
grc_proiel-ud-test,1047,0,3,,1.0,,,,,1.0,1.0,
grc_proiel-ud-train,15016,0,48,2.0,2.0,,1.0,5.0,,37.0,,1.0
grc_proiel-ud-dev,1019,0,1,,,,,1.0,,,,
el_gdt-ud-test,456,0,15,,2.0,1.0,,3.0,,9.0,,
el_gdt-ud-train,1662,0,35,5.0,5.0,,,5.0,1.0,19.0,,
el_gdt-ud-dev,403,0,11,1.0,,,,1.0,,9.0,,
