Treebank,Number of Sentences,Failures,Total,advcl,appos,ccomp,nmod,obl,root,xcomp
en_partut-ud-dev,156,0,1,,,,,1.0,,
en_partut-ud-train,1781,0,3,,,,1.0,2.0,,
en_atis-ud-test,586,0,1,,,,,1.0,,
en_atis-ud-train,4274,0,2,,,,1.0,1.0,,
en_gum-ud-train,9521,0,20,,,,13.0,7.0,,
en_gum-ud-test,1285,0,7,,,,2.0,5.0,,
en_gum-ud-dev,1341,0,4,1.0,,,1.0,2.0,,
en_lines-ud-train,3176,0,3,,1.0,,,2.0,,
en_lines-ud-dev,1032,0,4,,,,,4.0,,
en_lines-ud-test,1035,0,2,,,,1.0,1.0,,
en_ewt-ud-test,2077,0,1,,,,1.0,,,
en_ewt-ud-dev,2001,0,3,,,,2.0,1.0,,
en_ewt-ud-train,12544,0,20,,,2.0,7.0,9.0,1.0,1.0
pcm_nsc-ud-train,7279,0,6,,,,,3.0,1.0,2.0
en_gentle-ud-test,1334,0,1,,,,,1.0,,
en_pud-ud-test,1000,0,4,,,,2.0,2.0,,
