Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,csubj,dep,expl,fixed,flat,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,reparandum,root,xcomp
sl_ssj-ud-test,1282,0,113,,,,1.0,1.0,,,,,,,,,,,16.0,,,,93.0,2.0,,,,,
sl_ssj-ud-dev,1250,0,117,,,,,3.0,,,,,,,,,,,27.0,,,,85.0,1.0,1.0,,,,
sl_ssj-ud-train,10903,0,968,,,,7.0,6.0,,,2.0,,,,,,2.0,,161.0,1.0,,,756.0,18.0,6.0,,,9.0,
es_gsd-ud-train,14187,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
pl_pdb-ud-test,2215,0,137,,,,,,,,,,,,,,,,10.0,,,,124.0,,3.0,,,,
pl_pdb-ud-train,17722,0,1142,,,1.0,3.0,1.0,,,1.0,,,,,,,,130.0,,,2.0,964.0,1.0,35.0,,,4.0,
pl_pdb-ud-dev,2215,0,152,,,,,,,,,,,,,,,,16.0,,,,133.0,,3.0,,,,
hr_set-ud-dev,960,0,13,,,,,,,,,,,,,,,,1.0,,1.0,,11.0,,,,,,
hr_set-ud-train,6914,0,193,,,1.0,2.0,1.0,,,,,,1.0,,,,,65.0,,5.0,4.0,106.0,,7.0,,,1.0,
hr_set-ud-test,1136,0,20,,,,,,,,,,,,,,,,5.0,,,,13.0,1.0,1.0,,,,
qpm_philotis-ud-dev,635,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
sk_snk-ud-dev,1060,0,64,,,,,1.0,,,,,,,,,,,14.0,,,,49.0,,,,,,
sk_snk-ud-test,1061,0,46,,,,,,,,,,,,,,,,1.0,,,,45.0,,,,,,
sk_snk-ud-train,8483,0,199,,,,,,,,,,3.0,,,,,,10.0,,,,184.0,,,,,2.0,
lt_hse-ud-train,153,0,2,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,
lt_hse-ud-test,55,0,2,,,,,,,,,,,,,,,,,,,,2.0,,,,,,
lt_hse-ud-dev,55,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
cs_pud-ud-test,1000,0,50,,,,,,,,,,,,,,,,11.0,,,,39.0,,,,,,
ro_nonstandard-ud-train,24121,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
lt_alksnis-ud-test,684,0,19,,,,1.0,,,,,,,,,,,,,,,,18.0,,,,,,
lt_alksnis-ud-dev,617,0,13,,,,,1.0,,,,,,,,,,,,1.0,,,11.0,,,,,,
lt_alksnis-ud-train,2341,0,37,,,,2.0,,,,,,,,,,,,,,,,35.0,,,,,,
hsb_ufal-ud-test,623,0,34,,,,,,,,,,,,,,,,19.0,,,,14.0,,1.0,,,,
hsb_ufal-ud-train,23,0,3,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,
sr_set-ud-test,520,0,9,,,,,,,,,,,,,,,,1.0,,1.0,,7.0,,,,,,
sr_set-ud-train,3328,0,87,,,,1.0,,,,,,,,,,,,28.0,,1.0,1.0,52.0,,4.0,,,,
sr_set-ud-dev,536,0,10,,,,,,,,,,,,,,,,1.0,,1.0,,8.0,,,,,,
cs_cltt-ud-dev,316,0,31,,,,,,,,,,,,,,,,5.0,,,,26.0,,,,,,
cs_cltt-ud-train,467,0,18,,,,,,,,,,,,,,,,2.0,,,,16.0,,,,,,
cs_cltt-ud-test,338,0,25,,,,,,,,,,,,,,,,5.0,,,,20.0,,,,,,
cs_fictree-ud-dev,1309,0,66,,,,,1.0,,,,,2.0,,,,,,3.0,,,,59.0,,,,,1.0,
cs_fictree-ud-train,10160,0,394,,,1.0,,2.0,,,1.0,,11.0,,,,,,41.0,,1.0,,328.0,,1.0,,,8.0,
cs_fictree-ud-test,1291,0,57,,,,,,,,,,3.0,,,,,,6.0,,,,46.0,,,,,2.0,
sl_sst-ud-train,4558,0,175,,2.0,1.0,4.0,3.0,,,,,,,,,,,18.0,1.0,2.0,1.0,117.0,6.0,4.0,,1.0,15.0,
sl_sst-ud-test,1041,0,24,,,,2.0,,,,,,,,,,,,5.0,,,,15.0,2.0,,,,,
sl_sst-ud-dev,505,0,39,,,,,2.0,,,,,,,,,,,3.0,,,,30.0,1.0,,,1.0,2.0,
cs_pdt-ud-test,10146,0,382,3.0,1.0,,2.0,3.0,1.0,1.0,,1.0,9.0,,,,,,60.0,,3.0,,291.0,,,1.0,,6.0,
cs_pdt-ud-dev,9270,0,375,6.0,3.0,,2.0,,,2.0,,,4.0,,,,,,69.0,2.0,2.0,,279.0,,,,,6.0,
cs_pdt-ud-train,68491,0,2608,56.0,11.0,5.0,11.0,26.0,2.0,3.0,5.0,,34.0,2.0,2.0,1.0,,1.0,426.0,6.0,46.0,2.0,1924.0,,,11.0,,33.0,1.0
pl_pud-ud-test,1000,0,72,,,,,,,,,,,,,,,,7.0,,,,65.0,,,,,,
cs_cac-ud-dev,603,0,13,,,,,,,,,,,,,,,,2.0,,,,11.0,,,,,,
cs_cac-ud-train,23478,0,845,1.0,2.0,2.0,9.0,11.0,,,,,11.0,,,,,,154.0,,4.0,,645.0,,,,,6.0,
cs_cac-ud-test,628,0,36,,1.0,,,,,,,,,,,,,,4.0,,,,31.0,,,,,,
pl_lfg-ud-test,1727,0,38,,,,,,,,,,,,,,,,1.0,,,,37.0,,,,,,
pl_lfg-ud-train,13774,0,389,,,,,,,,,,,,,,,,29.0,,,,359.0,,,,,1.0,
pl_lfg-ud-dev,1745,0,43,,,,,,,,,,,,,,,,3.0,,,,40.0,,,,,,
cs_poetry-ud-test,297,0,12,,,,,,,,,,,,,,,,,,,,12.0,,,,,,
