Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,nmod,obl,parataxis,root
tr_kenet-ud-dev,1646,0,3,1.0,,,,,2.0,,
tr_kenet-ud-test,1643,0,7,,,1.0,1.0,1.0,3.0,1.0,
tr_kenet-ud-train,15398,0,46,1.0,10.0,6.0,,7.0,20.0,1.0,1.0
tr_framenet-ud-train,2288,0,2,,,,,2.0,,,
tr_gb-ud-test,2880,0,1,,,,,,1.0,,
ota_boun-ud-train,114,0,3,,,1.0,,,2.0,,
ota_boun-ud-test,400,0,9,,,,,,8.0,,1.0
tr_boun-ud-dev,979,0,1,,1.0,,,,,,
tr_boun-ud-train,7803,0,1,,1.0,,,,,,
tr_penn-ud-train,14850,0,1,,,,,,1.0,,
