Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,dep,dislocated,flat,iobj,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,xcomp
orv_rnc-ud-dev,943,0,737,,,,17.0,,1.0,,,4.0,,264,9.0,6.0,2.0,391,42.0,,,1,
orv_rnc-ud-train,1868,0,584,2.0,,,23.0,,2.0,,,3.0,1.0,278,1.0,,,250,14.0,4.0,,5,1.0
orv_rnc-ud-test,717,0,268,,,,11.0,,,,,,,101,2.0,1.0,1.0,146,4.0,,,2,
orv_ruthenian-ud-test,390,0,71,,,,5.0,,,,,,,23,,,,36,5.0,,,2,
orv_ruthenian-ud-train,2789,0,514,,,,9.0,,,,,,,148,,,1.0,328,19.0,,3.0,6,
orv_ruthenian-ud-dev,344,0,32,,,,,,,,,,,8,,,,21,,,,3,
cu_proiel-ud-train,18327,0,772,7.0,22.0,18.0,5.0,2.0,,,1.0,,,33,2.0,,2.0,607,21.0,2.0,,38,12.0
cu_proiel-ud-test,2096,0,126,3.0,,,,2.0,,,,,,5,,,,109,3.0,,,3,1.0
cu_proiel-ud-dev,2205,0,129,2.0,5.0,5.0,,1.0,,,,,,9,,,,93,4.0,,,7,3.0
orv_birchbark-ud-train,1045,0,57,,,,2.0,,,2.0,1.0,1.0,,21,1.0,,,24,2.0,,,3,
orv_birchbark-ud-dev,1062,0,67,,,,2.0,,,1.0,,,,18,,,1.0,33,1.0,1.0,,10,
orv_birchbark-ud-test,1007,0,81,,1.0,,2.0,,,1.0,,1.0,,27,1.0,1.0,3.0,39,2.0,,,3,
orv_torot-ud-test,2955,0,233,1.0,2.0,3.0,2.0,,,,,,,21,1.0,,2.0,191,2.0,,,6,2.0
orv_torot-ud-dev,3061,0,311,1.0,1.0,7.0,5.0,,,,1.0,,,28,2.0,,,246,13.0,,,7,
orv_torot-ud-train,20480,0,1962,5.0,9.0,17.0,18.0,2.0,,,2.0,1.0,,251,12.0,2.0,5.0,1508,70.0,3.0,,45,12.0
