Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,dislocated,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
el_gud-ud-train,1071,0,4,,,,,,,,,,,4,,,,
el_gud-ud-test,736,0,3,,,,,,,,,,,3,,,,
grc_perseus-ud-dev,1137,0,85,,,,,,,17.0,,,,67,,,,1.0
grc_perseus-ud-train,11476,0,552,4.0,13.0,,,1.0,,49.0,,,,445,,,35.0,5.0
grc_perseus-ud-test,1306,0,66,,,,,,,20.0,,,,44,,,1.0,1.0
grc_proiel-ud-test,1047,0,35,,,2.0,,,,1.0,,1.0,,31,,,,
grc_proiel-ud-train,15016,0,652,3.0,13.0,29.0,2.0,1.0,1.0,55.0,8.0,3.0,7.0,489,16.0,,15.0,10.0
grc_proiel-ud-dev,1019,0,36,,1.0,,,,,2.0,,,,30,,,,3.0
grc_ptnk-ud-train,727,0,35,3.0,,,,,,,,,,27,5.0,,,
grc_ptnk-ud-dev,439,0,37,,,,,,,9.0,,,,22,5.0,1.0,,
grc_ptnk-ud-test,410,0,17,2.0,,,,1.0,,3.0,,,,11,,,,
el_gdt-ud-test,456,0,24,,,,,,,4.0,,,,19,1.0,,,
el_gdt-ud-train,1662,0,115,,1.0,,,,,28.0,,,,85,,1.0,,
el_gdt-ud-dev,403,0,41,,,,,,,15.0,,,,25,1.0,,,
