Treebank,Number of Sentences,Failures,Total,acl,advcl,nmod,nummod,obj,obl,root
sv_talbanken-ud-dev,504,0,1,,,1.0,,,,
sv_talbanken-ud-test,1219,0,7,,,4.0,,,3.0,
sv_talbanken-ud-train,4303,0,12,,,6.0,,,6.0,
no_nynorsk-ud-dev,1890,0,5,,,2.0,,,3.0,
no_nynorsk-ud-test,1511,0,2,,,1.0,,,1.0,
no_nynorsk-ud-train,14174,0,54,,,23.0,14.0,1.0,16.0,
sv_lines-ud-dev,1032,0,1,,,,,,1.0,
sv_lines-ud-train,3176,0,6,,,2.0,,,4.0,
sv_lines-ud-test,1035,0,4,,,2.0,,,2.0,
fo_oft-ud-test,1208,0,1,,,,,,,1.0
is_icepahc-ud-dev,4865,0,2,,,,,,2.0,
is_icepahc-ud-train,34007,0,13,1.0,,,,,10.0,2.0
is_icepahc-ud-test,5157,0,16,3.0,1.0,,,,11.0,1.0
is_modern-ud-dev,394,0,1,,,,,,1.0,
