Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,nmod,obj,obl,parataxis,root
tr_pud-ud-test,1000,0,2,,,,,,,2.0,,
tr_kenet-ud-dev,1646,0,2,,,,,,,2.0,,
tr_kenet-ud-test,1643,0,3,,1.0,,,,,1.0,,1.0
tr_kenet-ud-train,15398,0,11,,4.0,,1.0,,,4.0,,2.0
tr_framenet-ud-train,2288,0,6,,,,,3.0,,2.0,,1.0
tr_gb-ud-test,2880,0,3,,,,,,,3.0,,
ota_boun-ud-train,114,0,1,,1.0,,,,,,,
ota_boun-ud-test,400,0,1,,1.0,,,,,,,
qtd_sagt-ud-dev,801,0,1,,,,,,,,,1.0
qtd_sagt-ud-train,578,0,1,,,,,,,1.0,,
tr_tourism-ud-train,15473,0,161,,28.0,,,62.0,,34.0,,37.0
tr_tourism-ud-dev,2166,0,28,,17.0,,,5.0,,,,6.0
tr_tourism-ud-test,2191,0,23,,11.0,,,,,3.0,,9.0
tr_imst-ud-train,3435,0,5,,1.0,1.0,,3.0,,,,
tr_imst-ud-dev,1100,0,2,1.0,,,,1.0,,,,
tr_boun-ud-dev,979,0,1,,,,,,,1.0,,
tr_boun-ud-train,7803,0,14,,5.0,1.0,,1.0,1.0,6.0,,
tr_penn-ud-train,14850,0,19,,1.0,,1.0,4.0,,11.0,1.0,1.0
