Treebank,Number of Sentences,Failures,Total,acl,advcl,nmod,obl,root
is_pud-ud-test,1000,0,3,,,1.0,2.0,
sv_lines-ud-dev,1032,0,2,,,1.0,1.0,
sv_lines-ud-train,3176,0,1,,,,1.0,
fo_oft-ud-test,1208,0,2,,,,1.0,1.0
is_gc-ud-test,540,0,1,,,,1.0,
is_gc-ud-train,3960,0,7,,,,7.0,
is_gc-ud-dev,500,0,0,,,,,
is_icepahc-ud-dev,4865,0,16,1.0,,,15.0,
is_icepahc-ud-train,34007,0,142,1.0,2.0,,137.0,2.0
is_icepahc-ud-test,5157,0,14,,,,14.0,
is_modern-ud-dev,394,0,1,,,,1.0,
is_modern-ud-train,2703,0,6,,,,5.0,1.0
is_modern-ud-test,438,0,1,,,,1.0,
