Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,dep,flat,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
is_pud-ud-test,1000,0,606,5.0,4.0,,2.0,2.0,2.0,,,241.0,1.0,,,332,,,16,1.0
fo_oft-ud-test,1208,0,624,,,1.0,,,,1.0,1.0,150.0,,1.0,,339,1.0,,130,
is_gc-ud-test,540,0,337,,,42.0,,,,,,,,,,293,,,2,
is_gc-ud-train,3960,0,2784,8.0,4.0,354.0,,1.0,,1.0,,,,,1.0,2397,,,15,3.0
is_gc-ud-dev,500,0,348,,,44.0,,,,,,,,,1.0,298,,,2,3.0
is_icepahc-ud-dev,4865,0,2291,44.0,33.0,,1.0,21.0,,3.0,,,1.0,,3.0,2120,,4.0,58,3.0
is_icepahc-ud-train,34007,0,12182,211.0,147.0,7.0,4.0,97.0,,6.0,,1.0,6.0,,13.0,11308,,18.0,340,24.0
is_icepahc-ud-test,5157,0,2460,69.0,35.0,,1.0,17.0,,1.0,,2.0,,,,2257,,3.0,72,3.0
is_modern-ud-dev,394,0,259,6.0,,,,7.0,,,,,,,,238,,,7,1.0
is_modern-ud-train,2703,0,1832,36.0,12.0,3.0,,24.0,,4.0,,,,,1.0,1669,,3.0,75,5.0
is_modern-ud-test,438,0,357,2.0,,,,1.0,,,,,,,1.0,345,,,7,1.0
