Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dislocated,nmod,nummod,obj,obl,parataxis,punct,reparandum,root,xcomp
en_partut-ud-dev,156,0,1,,,,,,,,,,,,1.0,,,,,
en_partut-ud-train,1781,0,30,,,,,1.0,,,,5.0,,,24.0,,,,,
en_partut-ud-test,153,0,4,1.0,,,,,,,,1.0,,,2.0,,,,,
no_bokmaal-ud-dev,2409,0,34,,,,1.0,,,,,3.0,1.0,,28.0,,,,1.0,
no_bokmaal-ud-test,1939,0,19,,,,,1.0,,,,2.0,,,16.0,,,,,
no_bokmaal-ud-train,15696,0,181,,,1.0,,,,,1.0,32.0,3.0,,137.0,,,,6.0,1.0
sv_talbanken-ud-dev,504,0,17,,1.0,,,,,,,5.0,,,11.0,,,,,
sv_talbanken-ud-test,1219,0,58,,,,,,,1.0,,6.0,,,51.0,,,,,
sv_talbanken-ud-train,4303,0,151,3.0,2.0,,2.0,,,,,8.0,1.0,,131.0,,,,4.0,
no_nynorsk-ud-dev,1890,0,44,1.0,2.0,,,,,,,12.0,,,28.0,,,,,1.0
no_nynorsk-ud-test,1511,0,25,,1.0,,,,,,,7.0,1.0,,14.0,,,,1.0,1.0
no_nynorsk-ud-train,14174,0,217,,10.0,1.0,1.0,1.0,,,,37.0,3.0,,161.0,,,,2.0,1.0
en_atis-ud-test,586,0,2,,,,,,,,,2.0,,,,,,,,
en_atis-ud-train,4274,0,6,,,,,,,,,6.0,,,,,,,,
en_atis-ud-dev,572,0,1,,,,,,,,,,,,1.0,,,,,
sv_lines-ud-dev,1032,0,23,,,,,,,,,1.0,,,22.0,,,,,
sv_lines-ud-train,3176,0,78,1.0,2.0,,,,,,,16.0,,,58.0,,,,1.0,
sv_lines-ud-test,1035,0,30,,,,,,,,,3.0,,,25.0,1.0,,,1.0,
nds_lsdc-ud-train,500,0,6,,,,,,,,,1.0,,,5.0,,,,,
en_gum-ud-train,9521,0,68,,,,,,,,,16.0,,,48.0,1.0,1.0,1.0,,1.0
en_gum-ud-test,1285,0,12,,,,,1.0,,,,1.0,,,10.0,,,,,
en_gum-ud-dev,1341,0,20,,,,,,,,,3.0,,,16.0,,,,,1.0
en_lines-ud-train,3176,0,37,,,,,,,,,9.0,,,28.0,,,,,
en_lines-ud-dev,1032,0,14,,,,,,,,,4.0,1.0,,9.0,,,,,
en_lines-ud-test,1035,0,8,,,,,,,,,,,,7.0,1.0,,,,
en_ewt-ud-test,2077,0,8,,,,,1.0,,,,1.0,,,4.0,,,,2.0,
en_ewt-ud-dev,2001,0,6,,,,,,,,,3.0,,,1.0,,,,2.0,
en_ewt-ud-train,12544,0,80,3.0,2.0,,,1.0,1.0,,,19.0,,,50.0,1.0,,,2.0,1.0
sv_pud-ud-test,1000,0,79,1.0,1.0,,,2.0,,,,14.0,,,59.0,1.0,,,1.0,
da_ddt-ud-train,4383,0,51,,,,,,,,,12.0,,1.0,38.0,,,,,
da_ddt-ud-test,565,0,13,,,,,,,,,3.0,,1.0,9.0,,,,,
da_ddt-ud-dev,564,0,14,,,,,,,,,3.0,,,11.0,,,,,
pcm_nsc-ud-dev,990,0,1,,,,,,,,,,,,1.0,,,,,
pcm_nsc-ud-train,7279,0,10,,,,,,,,,1.0,,,6.0,,,,1.0,2.0
pcm_nsc-ud-test,972,0,5,,,,,1.0,,,,,,,1.0,,,,1.0,2.0
it_twittiro-ud-train,1138,0,1,,,,,,,,,,1.0,,,,,,,
it_postwita-ud-train,5368,0,1,,,,,,,,,,1.0,,,,,,,
en_gentle-ud-test,1334,0,11,,,,,,,,,4.0,,,7.0,,,,,
en_pud-ud-test,1000,0,11,,1.0,,,2.0,,,,2.0,,,6.0,,,,,
