Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,dep,nmod,nsubj,obl,orphan,root,xcomp
la_circse-ud-test,1263,0,32,,2.0,,,,,,,,27.0,2.0,1.0,
la_perseus-ud-test,939,0,14,,,,,,,,3.0,,11.0,,,
la_perseus-ud-train,1334,0,17,,,,,,,,1.0,,15.0,,1.0,
la_llct-ud-dev,850,0,87,1.0,,,,,,,,,86.0,,,
la_llct-ud-test,884,0,87,,1.0,,,,,,,,85.0,,,1.0
la_llct-ud-train,7289,0,572,3.0,1.0,,,,,,8.0,,559.0,,1.0,
la_proiel-ud-test,1260,0,16,,,,,,,,,,16.0,,,
la_proiel-ud-dev,1233,0,6,,,,,,,,1.0,,5.0,,,
la_proiel-ud-train,16196,0,151,4.0,3.0,4.0,1.0,,1.0,2.0,8.0,1.0,122.0,2.0,3.0,
la_udante-ud-train,926,0,25,,2.0,,,,,,3.0,,20.0,,,
la_udante-ud-test,419,0,16,,,,,,,,,,15.0,1.0,,
la_udante-ud-dev,376,0,1,,,,,,,,,,1.0,,,
qaf_arabizi-ud-train,1003,0,1,,,,,,,,1.0,,,,,
la_ittb-ud-dev,2101,0,17,,,,,,1.0,,1.0,,14.0,1.0,,
la_ittb-ud-test,2101,0,9,2.0,,,,,,,,,5.0,,2.0,
la_ittb-ud-train,22775,0,229,9.0,5.0,,,1.0,4.0,,35.0,,170.0,,5.0,
