Treebank,Number of Sentences,Failures,Total,advcl,advmod,appos,flat,nmod,nsubj,nummod,obj,obl,parataxis,root
tr_pud-ud-test,1000,0,54,,,5.0,,31.0,,,6.0,12.0,,
tr_atis-ud-dev,572,0,12,,,,,7.0,,,,5.0,,
tr_atis-ud-train,4274,0,133,,,,,94.0,,,2.0,37.0,,
tr_atis-ud-test,586,0,23,,,,,20.0,,,,3.0,,
tr_kenet-ud-dev,1646,0,20,,,,,1.0,,,,19.0,,
tr_kenet-ud-test,1643,0,10,,,,,,,,,9.0,,1.0
tr_kenet-ud-train,15398,0,144,,,,,5.0,,,3.0,133.0,1.0,2.0
tr_framenet-ud-test,205,0,1,,,,,,,,,1.0,,
tr_framenet-ud-train,2288,0,17,,,,,,,,,16.0,,1.0
tr_framenet-ud-dev,205,0,3,,,,,,,,,3.0,,
tr_gb-ud-test,2880,0,1,,,,,,,,,1.0,,
qtd_sagt-ud-test,805,0,4,,,,,,,,,4.0,,
qtd_sagt-ud-dev,801,0,2,,,,,,,,,2.0,,
qtd_sagt-ud-train,578,0,1,,,,,,,,,1.0,,
tr_tourism-ud-train,15473,0,3,,,,,,2.0,,1.0,,,
tr_tourism-ud-dev,2166,0,49,1.0,,9.0,,1.0,32.0,,3.0,3.0,,
tr_imst-ud-train,3435,0,10,,,,,6.0,1.0,,1.0,2.0,,
tr_imst-ud-dev,1100,0,8,,1.0,,,3.0,,,,4.0,,
tr_imst-ud-test,1100,0,4,,1.0,,,1.0,,,,2.0,,
tr_boun-ud-dev,979,0,1,,,,,,1.0,,,,,
tr_boun-ud-test,979,0,1,,,,,,,,,1.0,,
tr_boun-ud-train,7803,0,14,,,,,,,,8.0,6.0,,
tr_penn-ud-dev,622,0,7,,,,,1.0,,,,6.0,,
tr_penn-ud-test,924,0,19,2.0,,,,6.0,,,,11.0,,
tr_penn-ud-train,14850,0,131,,,2.0,4.0,7.0,,1.0,2.0,115.0,,
