Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,dep,discourse,mark,nmod,nsubj,obj,obl,orphan,parataxis,reparandum,root,xcomp
fr_pud-ud-test,1000,0,67,,8.0,,,1.0,,,,17.0,,,36.0,1.0,,,,4.0
fr_fqb-ud-test,2289,0,14,,6.0,,,,,,,1.0,,,5.0,,,,,2.0
fr_gsd-ud-test,416,0,11,,,,,,,,,5.0,,,5.0,,,,,1.0
fr_gsd-ud-train,14450,0,459,1.0,,,,1.0,,,,150.0,,,243.0,1.0,2.0,,4.0,57.0
fr_gsd-ud-dev,1476,0,45,,,,,,,,,9.0,,,28.0,1.0,,,,7.0
fr_rhapsodie-ud-train,1288,0,37,,,2.0,,,,,,10.0,,,22.0,,,,2.0,1.0
fr_rhapsodie-ud-dev,1081,0,23,,,,1.0,,,,,5.0,,,15.0,,,,1.0,1.0
fr_rhapsodie-ud-test,840,0,21,,1.0,,,,,,,4.0,,,14.0,,,1.0,1.0,
fr_parisstories-ud-dev,692,0,25,,6.0,,,,,1.0,,5.0,,,8.0,,,1.0,1.0,3.0
fr_parisstories-ud-train,1387,0,36,,1.0,1.0,1.0,2.0,1.0,2.0,,4.0,,,19.0,,,2.0,,3.0
fr_parisstories-ud-test,697,0,18,,1.0,,,,,,,1.0,,,8.0,,,2.0,3.0,3.0
lij_glt-ud-test,296,0,19,,,1.0,,1.0,,,2.0,6.0,,,8.0,,,,1.0,
qaf_arabizi-ud-train,1003,0,50,,1.0,2.0,,3.0,,,,14.0,2.0,3.0,18.0,,7.0,,,
qaf_arabizi-ud-test,145,0,4,,1.0,,,,,,,1.0,,,2.0,,,,,
qaf_arabizi-ud-dev,139,0,7,,,,,,,,,2.0,2.0,1.0,2.0,,,,,
fr_partut-ud-dev,107,0,2,,,,,,,,,,,,2.0,,,,,
fr_partut-ud-test,110,0,3,,,,,,,,,1.0,,,2.0,,,,,
fr_partut-ud-train,803,0,18,,2.0,,,,,,,1.0,,,15.0,,,,,
fr_sequoia-ud-test,456,0,14,,,,,1.0,,,,7.0,,,3.0,,,,,3.0
fr_sequoia-ud-train,2231,0,53,,4.0,,,4.0,,,,13.0,,,20.0,,,,,12.0
fr_sequoia-ud-dev,412,0,7,,1.0,,,1.0,,,,1.0,,,,,,,,4.0
