Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,iobj,nmod,nummod,obj,obl,orphan,parataxis,root,xcomp
ro_nonstandard-ud-test,1052,0,32,1.0,,,,,,5,,,26.0,,,,
ro_nonstandard-ud-dev,1052,0,41,,,,,,,4,,,37.0,,,,
ro_nonstandard-ud-train,24121,0,773,9.0,3.0,3.0,,2.0,2.0,62,,1.0,663.0,7.0,1.0,19.0,1.0
ro_simonero-ud-test,491,0,5,,,,,,,2,,,3.0,,,,
ro_simonero-ud-train,3747,0,41,,,,2.0,,,17,1.0,,18.0,,,3.0,
ro_simonero-ud-dev,443,0,3,,,,,,,1,,,,,,2.0,
ro_tuecl-ud-test,210,0,3,,,1.0,,,,1,,,1.0,,,,
ro_rrt-ud-test,729,0,9,,,,,,,2,,,7.0,,,,
ro_rrt-ud-train,8043,0,134,1.0,17.0,,1.0,,,29,,,85.0,,1.0,,
ro_rrt-ud-dev,752,0,4,,,,,,,1,,,3.0,,,,
