Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,ccomp,csubj,dep,fixed,flat,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,root,xcomp
kpv_ikdp-ud-test,214,0,3,,,,,,,,,,,,,2,,,,1,,,,,
ru_taiga-ud-train,16045,0,1524,,2.0,3.0,4.0,1.0,3.0,3.0,1.0,,,,,528,2.0,1.0,,905,4.0,20.0,,44.0,3.0
ru_taiga-ud-dev,946,0,94,,,,,,,1.0,,,,,,22,,,,55,7.0,1.0,,8.0,
ru_taiga-ud-test,881,0,73,,,,,,1.0,,,,,,,33,,,,31,1.0,,,7.0,
ru_syntagrus-ud-train,69630,0,9986,5.0,12.0,23.0,4.0,6.0,6.0,3.0,,1.0,,1.0,2.0,3393,13.0,3.0,,6027,13.0,316.0,1.0,150.0,7.0
ru_syntagrus-ud-dev,8906,0,1300,,3.0,3.0,,,2.0,,,2.0,,,,421,1.0,,,796,,50.0,,21.0,1.0
ru_syntagrus-ud-test,8800,0,1433,1.0,3.0,2.0,,2.0,,1.0,,,,,,500,,,,849,,57.0,1.0,17.0,
ru_poetry-ud-test,728,0,72,,2.0,,,,1.0,,,,,,,22,,,,47,,,,,
ru_poetry-ud-dev,789,0,55,,,1.0,,,,,,,,,,14,,,,39,,1.0,,,
ru_poetry-ud-train,3569,0,266,,,,,1.0,,1.0,,,,,,59,,,,188,2.0,3.0,,12.0,
ru_pud-ud-test,1000,0,146,,,,,,,,,,,,,45,,,,93,,7.0,,1.0,
ru_gsd-ud-test,601,0,105,,,,,,,,,,,,,32,,,,72,,,,1.0,
ru_gsd-ud-dev,579,0,101,,,,,,,,,,1.0,,,49,,,,50,1.0,,,,
ru_gsd-ud-train,3850,0,723,,,,,2.0,1.0,,,,13.0,,,350,,,,350,4.0,2.0,,1.0,
bg_btb-ud-train,8907,0,1116,,5.0,2.0,2.0,,1.0,2.0,,,,238.0,,346,,,4.0,494,,2.0,,20.0,
bg_btb-ud-test,1116,0,143,,,1.0,,,2.0,,,,,30.0,,48,,,,61,,,,1.0,
bg_btb-ud-dev,1115,0,147,,,1.0,,,1.0,,,,,37.0,,38,,,3.0,60,,,,7.0,
