Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,compound,flat,nmod,obj,obl,orphan,parataxis,root,xcomp
de_hdt-ud-test,18459,0,854,,,2.0,2.0,,,308.0,37.0,271.0,,6.0,220.0,8.0
de_hdt-ud-train,153035,0,7107,6.0,1.0,18.0,26.0,,,2826.0,206.0,2234.0,,73.0,1661.0,56.0
de_hdt-ud-dev,18434,0,752,1.0,1.0,2.0,1.0,1.0,,279.0,24.0,256.0,,1.0,173.0,13.0
de_pud-ud-test,1000,0,43,,,,,,,21.0,,22.0,,,,
lb_luxbank-ud-test,20,0,1,,,,,,,,,1.0,,,,
de_lit-ud-test,1920,0,105,,,,,,,26.0,,70.0,1.0,2.0,6.0,
de_gsd-ud-train,13814,0,900,,2.0,3.0,1.0,,,374.0,,400.0,1.0,3.0,110.0,6.0
de_gsd-ud-dev,799,0,35,,,1.0,1.0,,,11.0,,15.0,,,7.0,
de_gsd-ud-test,977,0,51,,,,1.0,,,22.0,,16.0,,,12.0,
qtd_sagt-ud-test,805,0,7,,,,2.0,,,1.0,,1.0,,1.0,2.0,
qtd_sagt-ud-dev,801,0,9,,,,,,,2.0,,5.0,,,2.0,
qtd_sagt-ud-train,578,0,7,,1.0,,,,,1.0,,2.0,,1.0,2.0,
cs_cac-ud-train,23478,0,1,,,,,,1.0,,,,,,,
