Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,cop,csubj,dep,expl,mark,nmod,nsubj,nummod,obj,obl,parataxis,punct,root,xcomp
sl_ssj-ud-test,1282,0,12,,,,,,,,,,,,,,7.0,,,,4.0,,,1.0,
sl_ssj-ud-dev,1250,0,22,,,,,1.0,,,,,,,,,11.0,,,,10.0,,,,
sl_ssj-ud-train,10903,0,135,,,,,,,,,,,,,,43.0,,,,90.0,2.0,,,
sk_snk-ud-dev,1060,0,12,,,,,,,,,,,,,,5.0,,,1.0,6.0,,,,
sk_snk-ud-test,1061,0,9,,,,,,,,,,,,,,4.0,,,,5.0,,,,
sk_snk-ud-train,8483,0,16,,,,,,,,,,,1.0,,,6.0,,,,9.0,,,,
cs_pud-ud-test,1000,0,16,,1.0,,,,,,,,,,,,8.0,,,,6.0,,,1.0,
cs_cltt-ud-dev,316,0,1,,,,,,,,,,,,,,,,,,1.0,,,,
cs_cltt-ud-test,338,0,1,,,,,,,,,,,,,,1.0,,,,,,,,
cs_fictree-ud-dev,1309,0,5,,,,,,,,,,,,,,1.0,,,,4.0,,,,
cs_fictree-ud-train,10160,0,36,,,,,,,,,,,,,,7.0,,,,29.0,,,,
cs_fictree-ud-test,1291,0,3,,,,,,,,,,,,,,1.0,,,,2.0,,,,
sl_sst-ud-train,4558,0,18,,,,,,,,,,,,,,4.0,,,1.0,8.0,1.0,,4.0,
sl_sst-ud-test,1041,0,4,,,,,,,,,,,,,,1.0,,,,2.0,,,1.0,
sl_sst-ud-dev,505,0,10,,,,,,,,,,,,,,8.0,,,,2.0,,,,
cs_pdt-ud-test,10146,0,130,1.0,,1.0,,,,,2.0,1.0,1.0,4.0,,,50.0,2.0,,,61.0,,1.0,6.0,
cs_pdt-ud-dev,9270,0,101,3.0,2.0,1.0,1.0,1.0,,,1.0,,,4.0,,,38.0,,1.0,,46.0,,,3.0,
cs_pdt-ud-train,68491,0,840,12.0,4.0,4.0,3.0,4.0,1.0,2.0,4.0,,,35.0,1.0,1.0,315.0,2.0,1.0,2.0,420.0,,1.0,25.0,3.0
cs_cac-ud-dev,603,0,3,,,,,,,,,,,,,,3.0,,,,,,,,
cs_cac-ud-train,23478,0,269,,2.0,,7.0,,,,,,,4.0,,,121.0,1.0,,2.0,128.0,,,3.0,1.0
cs_cac-ud-test,628,0,9,,,,,,,,,,,,,,3.0,,,,6.0,,,,
cs_poetry-ud-test,297,0,2,,,,,,,,,,,,,,,,,,2.0,,,,
