Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,dislocated,flat,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,root,xcomp
no_bokmaal-ud-dev,2409,0,425,35.0,56.0,15.0,1.0,,,,,,,,,105.0,1.0,,,197,,,5.0,10.0
no_bokmaal-ud-test,1939,0,372,33.0,46.0,14.0,4.0,2.0,,,,,,,,83.0,,1.0,1.0,182,,,4.0,2.0
no_bokmaal-ud-train,15696,0,3030,253.0,453.0,88.0,11.0,7.0,,,,,,,,714.0,2.0,2.0,8.0,1382,,4.0,41.0,65.0
no_nynorsk-ud-dev,1890,0,450,36.0,70.0,20.0,2.0,2.0,,,,,,,,115.0,,1.0,,185,,,5.0,14.0
no_nynorsk-ud-test,1511,0,334,33.0,40.0,9.0,1.0,,,,,,,,,97.0,,1.0,,144,,,1.0,8.0
no_nynorsk-ud-train,14174,0,3494,267.0,438.0,137.0,4.0,7.0,,1.0,,3.0,,,,1009.0,4.0,2.0,9.0,1494,,1.0,35.0,83.0
is_pud-ud-test,1000,0,203,32.0,29.0,,,,,,,,,,,31.0,,,,88,,,1.0,22.0
fo_oft-ud-test,1208,0,55,1.0,2.0,,,,,,1.0,,,,,5.0,,1.0,,39,,,5.0,1.0
is_gc-ud-test,540,0,75,,,2.0,,,,,,,,,,,,,,73,,,,
is_gc-ud-train,3960,0,698,2.0,3.0,12.0,,,,,,,,,2.0,,,,,674,,,2.0,3.0
is_gc-ud-dev,500,0,73,,,3.0,,,,,,,,,,,,,,70,,,,
is_icepahc-ud-dev,4865,0,1721,63.0,53.0,1.0,,46.0,2.0,,,,,,,,,,2.0,1441,,2.0,102.0,9.0
is_icepahc-ud-train,34007,0,8147,310.0,199.0,13.0,1.0,148.0,,,1.0,,,,,,2.0,,10.0,7078,,9.0,354.0,22.0
is_icepahc-ud-test,5157,0,1559,61.0,48.0,2.0,,36.0,,,,,,,,,2.0,,2.0,1321,,1.0,80.0,6.0
is_modern-ud-dev,394,0,62,1.0,3.0,1.0,,2.0,1.0,,,,,,,,,,,51,,1.0,2.0,
is_modern-ud-train,2703,0,611,35.0,13.0,3.0,,15.0,,,,,,,,1.0,,,3.0,511,,3.0,23.0,4.0
is_modern-ud-test,438,0,94,1.0,,,,2.0,,,,,,1.0,,,,,,85,,,5.0,
da_ddt-ud-train,4383,0,996,37.0,195.0,23.0,,,5.0,,,,1.0,,,276.0,,14.0,3.0,428,2.0,,10.0,2.0
da_ddt-ud-test,565,0,120,4.0,27.0,1.0,,,1.0,,,,,,,27.0,,4.0,,56,,,,
da_ddt-ud-dev,564,0,137,3.0,30.0,3.0,,,,,,,,,,34.0,,1.0,,61,,,5.0,
