Treebank,Number of Sentences,Failures,Total,advcl,aux,ccomp,expl,nmod,obl,root,xcomp
es_gsd-ud-train,14187,0,10,1.0,,,,7.0,2.0,,
es_ancora-ud-train,14287,0,13,,1.0,,1.0,6.0,5.0,,
es_ancora-ud-test,1721,0,1,,,,,,1.0,,
es_ancora-ud-dev,1654,0,2,,,,,,1.0,1.0,
gl_treegal-ud-train,600,0,1,,,,,,1.0,,
gl_ctg-ud-dev,860,0,2,,,2.0,,,,,
gl_ctg-ud-test,861,0,1,,,1.0,,,,,
gl_ctg-ud-train,2272,0,7,,,2.0,,2.0,3.0,,
it_old-ud-train,1748,0,1,1.0,,,,,,,
it_old-ud-test,338,0,1,1.0,,,,,,,
pt_cintil-ud-train,30720,0,1,,,,,,1.0,,
it_isdt-ud-test,482,0,3,1.0,,,,,2.0,,
pt_bosque-ud-train,7018,0,2,,,,,,1.0,,1.0
it_partut-ud-test,153,0,1,1.0,,,,,,,
it_partut-ud-train,1781,0,4,3.0,,,,,1.0,,
it_vit-ud-train,8277,0,7,1.0,,,,2.0,4.0,,
it_vit-ud-dev,743,0,5,,,,,,5.0,,
it_parlamint-ud-train,326,0,1,,,,,,1.0,,
