Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,aux,cc,ccomp,expl,mark,nmod,nsubj,nummod,obj,obl,parataxis,punct,root,xcomp
es_gsd-ud-test,426,0,7,,,,,,,,,,,,1.0,,6,,,,
es_gsd-ud-dev,1400,0,35,,,3.0,,,,,,,10.0,,2.0,,20,,,,
es_gsd-ud-train,14187,0,426,,,60.0,16.0,,,,,,84.0,,14.0,1.0,249,,,1.0,1.0
es_ancora-ud-train,14287,0,401,1.0,4.0,49.0,72.0,3.0,2.0,1.0,2.0,11.0,25.0,1.0,11.0,4.0,204,,2.0,8.0,1.0
es_ancora-ud-test,1721,0,55,2.0,,16.0,12.0,2.0,,,,1.0,3.0,,,,19,,,,
es_ancora-ud-dev,1654,0,50,,,5.0,5.0,,,,,5.0,2.0,,5.0,,27,,,1.0,
es_pud-ud-test,1000,0,21,,,,,,,,,,1.0,,,,14,,,,6.0
nhi_itml-ud-test,909,0,12,,,2.0,2.0,,,,,,,,,,5,1.0,,2.0,
azz_itml-ud-test,1260,0,5,,,,,,,,,,,,,,5,,,,
es_coser-ud-test,539,0,9,,,1.0,3.0,,,,,,,,,,4,,,1.0,
