Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,cop,csubj,dep,discourse,expl,fixed,flat,iobj,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,root,xcomp
es_gsd-ud-test,426,0,103,,3.0,7.0,1.0,,,,,,,,,,,,,,,21.0,,,,71.0,,,,,
es_gsd-ud-dev,1400,0,334,,4.0,12.0,5.0,1.0,,,,,,,,,,,,,,83.0,,,,227.0,,,,2.0,
es_gsd-ud-train,14187,0,3345,,15.0,157.0,63.0,2.0,,,3.0,,,,4.0,,,,4.0,,,714.0,1.0,,2.0,2363.0,,4.0,,10.0,3.0
pt_porttinari-ud-train,5893,0,1038,,5.0,41.0,17.0,1.0,,,2.0,,,,,,,,1.0,,,142.0,,6.0,,806.0,4.0,3.0,,7.0,3.0
pt_porttinari-ud-test,1683,0,300,,3.0,7.0,3.0,,,,1.0,,,,,,,,1.0,,,37.0,,1.0,,241.0,,,,4.0,2.0
pt_porttinari-ud-dev,842,0,143,,1.0,7.0,4.0,,,,,,,,,,,,1.0,,,17.0,,1.0,,108.0,,,,1.0,3.0
es_ancora-ud-train,14287,0,3553,31.0,74.0,152.0,79.0,1.0,19.0,10.0,23.0,3.0,4.0,3.0,,,10.0,18.0,10.0,,41.0,816.0,12.0,19.0,29.0,1990.0,,2.0,30.0,144.0,33.0
es_ancora-ud-test,1721,0,442,4.0,6.0,22.0,10.0,,2.0,,3.0,,,,1.0,,,4.0,1.0,,5.0,84.0,1.0,5.0,2.0,271.0,,1.0,3.0,12.0,5.0
es_ancora-ud-dev,1654,0,431,1.0,13.0,10.0,18.0,,1.0,,2.0,,,,,,3.0,1.0,1.0,,5.0,94.0,2.0,3.0,7.0,248.0,,,1.0,13.0,8.0
pt_pud-ud-test,1000,0,185,,2.0,2.0,,,,,2.0,,,,,,,,,,,32.0,,1.0,1.0,131.0,,1.0,,4.0,9.0
gl_treegal-ud-train,600,0,148,,5.0,5.0,1.0,,,,2.0,,,1.0,,,,,,,,31.0,1.0,1.0,,91.0,,2.0,,5.0,3.0
gl_treegal-ud-test,400,0,77,,,4.0,4.0,,,,1.0,,,,,,,,,,,14.0,,,,51.0,,,,2.0,1.0
gl_ctg-ud-dev,860,0,267,,,,7.0,,,,16.0,,,,6.0,,,,,,,59.0,,,1.0,171.0,,,,7.0,
gl_ctg-ud-test,861,0,244,,,,4.0,,,,12.0,,,,2.0,,,,,,,51.0,,,1.0,167.0,,,,7.0,
gl_ctg-ud-train,2272,0,687,,,,15.0,,,,43.0,,,,14.0,,,,,,,180.0,1.0,,2.0,414.0,,,,16.0,2.0
pt_petrogold-ud-train,7170,0,1778,,18.0,36.0,,5.0,,,,,,,,,,,,,,243.0,5.0,4.0,,1389.0,,2.0,,59.0,17.0
pt_petrogold-ud-test,1039,0,221,,1.0,,1.0,,,,,,,,,,,,,,,28.0,1.0,,,186.0,,,,2.0,2.0
pt_petrogold-ud-dev,737,0,128,,,4.0,,,,,,,,,,,,,,,,14.0,,1.0,,104.0,,,,5.0,
pt_gsd-ud-dev,1204,0,268,,,,2.0,,,,,,,,,,,,,,,237.0,,,1.0,28.0,,,,,
pt_gsd-ud-test,1200,0,245,,,1.0,3.0,,,,,,,,,,,,,,,200.0,,,2.0,37.0,,,,2.0,
pt_gsd-ud-train,9616,0,2140,,,6.0,22.0,1.0,,,,,,,1.0,,,,,,,1808.0,,,6.0,290.0,,,,6.0,
es_pud-ud-test,1000,0,177,,,1.0,1.0,,,,1.0,,,,,,,,,,,27.0,,,,120.0,,,,12.0,15.0
pt_cintil-ud-test,3840,0,413,,,,1.0,,,,2.0,,,,36.0,,,,,,,,3.0,,8.0,345.0,,3.0,,14.0,1.0
pt_cintil-ud-dev,3840,0,216,,,,,,,,1.0,,,,20.0,,,,,,,,3.0,,4.0,165.0,,,,23.0,
pt_cintil-ud-train,30720,0,1797,,,,2.0,2.0,,,3.0,,,,166.0,,,,,,,,31.0,7.0,67.0,1263.0,,4.0,,240.0,12.0
pt_bosque-ud-dev,1172,0,226,,,4.0,2.0,1.0,,,,,,,,,,,1.0,4.0,1.0,30.0,1.0,,11.0,158.0,,1.0,,11.0,1.0
pt_bosque-ud-test,1167,0,268,,1.0,2.0,2.0,2.0,,,,,,,,,,,,1.0,,42.0,,1.0,15.0,193.0,,,,8.0,1.0
pt_bosque-ud-train,7018,0,1496,,11.0,20.0,13.0,4.0,,,5.0,,,1.0,,,,,2.0,18.0,,239.0,5.0,,63.0,1040.0,,2.0,,60.0,13.0
fro_profiterole-ud-train,15503,0,267,,4.0,40.0,,,,,,,,,,,,,,1.0,,1.0,,,2.0,200.0,,,,8.0,11.0
ca_ancora-ud-dev,1709,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
ca_ancora-ud-train,13123,0,4,,,,,1.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,,
nhi_itml-ud-test,909,0,15,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,1.0,
gl_pud-ud-test,1000,0,174,,4.0,4.0,3.0,,,,2.0,,,1.0,,3.0,,,,,,28.0,2.0,1.0,1.0,103.0,,2.0,,16.0,4.0
azz_itml-ud-test,1260,0,51,,,45.0,,,,,,,,,,,,,,,,1.0,,,,5.0,,,,,
es_coser-ud-test,539,0,52,,,3.0,13.0,,,,,,,,,,,,,,,,1.0,,1.0,25.0,,1.0,,8.0,
