Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,cc,ccomp,compound,csubj,discourse,dislocated,flat,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,xcomp
en_partut-ud-dev,156,0,79,,1.0,,,,,,,,,,,,72.0,,1.0,,5.0,,,,,
en_partut-ud-train,1781,0,1422,,26.0,9.0,1.0,,,,,,,,,3.0,1287.0,,13.0,,81.0,1.0,,,1.0,
en_partut-ud-test,153,0,149,,2.0,,,,,,,,,,,,133.0,,2.0,,10.0,,,,2.0,
es_gsd-ud-test,426,0,2,,,,,,,,,,,,,,2.0,,,,,,,,,
es_gsd-ud-dev,1400,0,2,,,,,,,,,,,,,,2.0,,,,,,,,,
es_gsd-ud-train,14187,0,17,,,,,,,,,,,,,,17.0,,,,,,,,,
sv_talbanken-ud-dev,504,0,2,,,,,,,,,,,,,,2.0,,,,,,,,,
sv_talbanken-ud-train,4303,0,2,,,,,,,,,,,,,,2.0,,,,,,,,,
no_nynorsk-ud-dev,1890,0,2,,1.0,,,,,,,,,,,,1.0,,,,,,,,,
no_nynorsk-ud-train,14174,0,4,,,,,,,,,,,,,,3.0,,,,1.0,,,,,
he_iahltwiki-ud-train,4298,0,1,,,,,,,,,,,,,,1.0,,,,,,,,,
cs_pud-ud-test,1000,0,2,,,,,,,,,,,,,,1.0,,,,1.0,,,,,
de_pud-ud-test,1000,0,10,,,,1.0,,,,,,,,,,9.0,,,,,,,,,
pt_gsd-ud-train,9616,0,2,,,,,,,,,,,,,,2.0,,,,,,,,,
ga_twittirish-ud-dev,864,0,9,,,,,,,,,,,,1.0,,7.0,,,,,,1.0,,,
ga_twittirish-ud-test,866,0,8,,,,,1.0,,,,,,,,,6.0,,,,,,,,1.0,
ga_twittirish-ud-train,866,0,8,,,,,,,,,,,,,,8.0,,,,,,,,,
es_pud-ud-test,1000,0,1,,,,,,,,,,,,,,1.0,,,,,,,,,
en_atis-ud-test,586,0,45,,,,,,,,,,,1.0,,,41.0,1.0,,2.0,,,,,,
en_atis-ud-train,4274,0,309,,,,,,,,,,,,,,292.0,3.0,1.0,4.0,8.0,,,,1.0,
en_atis-ud-dev,572,0,52,,,,,,,,,,,,,,50.0,,,,2.0,,,,,
id_gsd-ud-train,4482,0,4,,,,,2.0,,,,,,,,,2.0,,,,,,,,,
sv_lines-ud-train,3176,0,2,,,,,,,,,,,,,,2.0,,,,,,,,,
en_gum-ud-train,9521,0,3778,1.0,8.0,4.0,42.0,1.0,1.0,1.0,2.0,,,,,16.0,3411.0,2.0,,2.0,239.0,1.0,8.0,3.0,35.0,1.0
en_gum-ud-test,1285,0,651,1.0,1.0,1.0,3.0,,,,,,,,,2.0,574.0,1.0,,,62.0,,,,6.0,
en_gum-ud-dev,1341,0,586,,4.0,1.0,9.0,,,,,,,,,3.0,531.0,,,1.0,29.0,,2.0,,6.0,
it_isdt-ud-train,13121,0,19,,,,,,,,,,,,,,19.0,,,,,,,,,
en_lines-ud-train,3176,0,1269,,59.0,1.0,2.0,3.0,,4.0,1.0,,,1.0,1.0,6.0,1074.0,1.0,14.0,2.0,96.0,,,,3.0,1.0
en_lines-ud-dev,1032,0,430,,14.0,,1.0,,,,,,1.0,,,1.0,368.0,,2.0,1.0,42.0,,,,,
en_lines-ud-test,1035,0,367,,14.0,,,,,,2.0,,,1.0,,1.0,307.0,,1.0,,33.0,,1.0,,4.0,3.0
en_ewt-ud-test,2077,0,353,,1.0,,1.0,,,,,,,,,,311.0,,,,30.0,,1.0,,8.0,1.0
en_ewt-ud-dev,2001,0,364,,1.0,1.0,2.0,,,3.0,,,,,,,312.0,,,,37.0,,,,7.0,1.0
en_ewt-ud-train,12544,0,3413,,9.0,8.0,14.0,,,5.0,3.0,1.0,,,,,3073.0,,1.0,1.0,260.0,,2.0,,33.0,3.0
sv_pud-ud-test,1000,0,7,,,,,,,,,,,,,,6.0,,,,1.0,,,,,
is_icepahc-ud-dev,4865,0,2,,1.0,,,,,,,,,,,,,,,,1.0,,,,,
is_icepahc-ud-train,34007,0,233,,4.0,13.0,1.0,,,1.0,,,,,,,,,,,201.0,,,,13.0,
is_icepahc-ud-test,5157,0,62,,2.0,1.0,,,,,,,,,,,,,,,59.0,,,,,
it_partut-ud-train,1781,0,4,,,,,,,,,,,,,,4.0,,,,,,,,,
pcm_nsc-ud-dev,990,0,57,,1.0,,4.0,,,,,,,,,,45.0,,,,6.0,,,1.0,,
pcm_nsc-ud-train,7279,0,568,,8.0,,6.0,,,1.0,,,,3.0,,11.0,444.0,2.0,,3.0,77.0,,1.0,4.0,7.0,1.0
pcm_nsc-ud-test,972,0,52,,,,4.0,,,,,,,1.0,,1.0,33.0,1.0,,2.0,7.0,,1.0,1.0,1.0,
de_gsd-ud-train,13814,0,4,,,,,1.0,,,,,,,,,3.0,,,,,,,,,
gl_pud-ud-test,1000,0,3,,,,,,,,,,,,,,1.0,,,,2.0,,,,,
en_pronouns-ud-test,285,0,25,,,,,,,,,,,,,,25.0,,,,,,,,,
it_vit-ud-train,8277,0,3,,,,,,,,,,,,1.0,,,2.0,,,,,,,,
it_vit-ud-test,1067,0,1,,,,,,,,,,,,,,1.0,,,,,,,,,
it_vit-ud-dev,743,0,2,,,,,,,,,,,,,,2.0,,,,,,,,,
qtd_sagt-ud-test,805,0,2,,,,,,,,,,,,,,,,,,1.0,,,,1.0,
qtd_sagt-ud-dev,801,0,4,,,,,,,,,,,,,,3.0,,,,1.0,,,,,
cs_cac-ud-train,23478,0,2,,,,,,,,,,,,2.0,,,,,,,,,,,
en_gentle-ud-test,1334,0,359,,,1.0,3.0,,,,,,,,,2.0,332.0,,,,14.0,,2.0,1.0,3.0,1.0
en_pud-ud-test,1000,0,595,,1.0,1.0,,,,1.0,,,,,1.0,,552.0,1.0,,,31.0,,,,6.0,1.0
