Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,dislocated,flat,iobj,nmod,nsubj,obj,obl,orphan,parataxis,root,xcomp
uk_iu-ud-dev,673,0,50,,,,,,,3.0,,19.0,,,28.0,,,,
uk_iu-ud-train,5521,0,262,1.0,,,1.0,,,3.0,,90.0,2.0,,153.0,2.0,2.0,8.0,
uk_iu-ud-test,898,0,64,,,,,,,9.0,,30.0,,,25.0,,,,
orv_rnc-ud-dev,943,0,11,,,1.0,,,,,,,,,10.0,,,,
orv_rnc-ud-train,1868,0,22,,,,,,,,,1.0,,,21.0,,,,
orv_rnc-ud-test,717,0,22,,,,2.0,,,,,1.0,,1.0,18.0,,,,
orv_ruthenian-ud-test,390,0,12,,,,,,,,,,,,12.0,,,,
orv_ruthenian-ud-train,2789,0,80,,,,,,,,1.0,1.0,,,75.0,,,3.0,
orv_ruthenian-ud-dev,344,0,17,,,,,,,,,,,,17.0,,,,
ru_taiga-ud-train,16045,0,77,,,,,,,,,19.0,,,48.0,3.0,1.0,6.0,
ru_taiga-ud-dev,946,0,2,,,,,,,,,,,,2.0,,,,
ru_taiga-ud-test,881,0,10,1.0,,,,,,,,3.0,,,5.0,,,1.0,
ru_syntagrus-ud-train,69630,0,280,1.0,2.0,1.0,,1.0,,,,71.0,,,171.0,,6.0,26.0,1.0
ru_syntagrus-ud-dev,8906,0,23,,,,,,,,,2.0,,,17.0,,1.0,3.0,
ru_syntagrus-ud-test,8800,0,44,,,,,,,,,4.0,,,32.0,,2.0,6.0,
orv_birchbark-ud-train,1045,0,3,,,,,,,,,1.0,,,1.0,,,1.0,
orv_birchbark-ud-dev,1062,0,13,,,,,,4.0,,,1.0,,,6.0,,,2.0,
orv_birchbark-ud-test,1007,0,17,,,,,,4.0,,,3.0,,,9.0,,,1.0,
ru_poetry-ud-test,728,0,2,,,,,,,,,,,,2.0,,,,
ru_poetry-ud-dev,789,0,3,,,,,,,,,,,,3.0,,,,
ru_poetry-ud-train,3569,0,11,,,,,,,,,1.0,,,10.0,,,,
ru_pud-ud-test,1000,0,1,,,,,,,,,,,,1.0,,,,
orv_torot-ud-test,2955,0,2,,,,,,,,,,,,2.0,,,,
orv_torot-ud-dev,3061,0,4,,,,,,,,,,,,4.0,,,,
orv_torot-ud-train,20480,0,42,,,,1.0,,,,,,,,37.0,1.0,,3.0,
ru_gsd-ud-test,601,0,1,,,,,,,,,1.0,,,,,,,
ru_gsd-ud-dev,579,0,1,,,,,,,,,1.0,,,,,,,
ru_gsd-ud-train,3850,0,5,,,,,,,,,,,,5.0,,,,
