Treebank,Number of Sentences,Failures,Total,_,acl,advmod,ccomp,dep,fixed,nmod,obl,parataxis,root
cs_pud-ud-test,1000,0,3,,,,,,,,3.0,,
cs_cltt-ud-dev,316,0,1,,,,,,,,1.0,,
cs_cltt-ud-train,467,0,2,,,,,,,,2.0,,
cs_cltt-ud-test,338,0,1,,1.0,,,,,,,,
cs_fictree-ud-train,10160,0,3,,,,,,,,3.0,,
cs_fictree-ud-test,1291,0,1,,,,,,,,1.0,,
cs_pdt-ud-test,10146,0,37,,,,,,3.0,2.0,31.0,,1.0
cs_pdt-ud-dev,9270,0,26,,,,,,2.0,,22.0,,2.0
cs_pdt-ud-train,68491,0,185,1.0,,1.0,1.0,1.0,8.0,4.0,164.0,,5.0
cs_cac-ud-dev,603,0,1,,,,,,,,1.0,,
cs_cac-ud-train,23478,0,103,,,2.0,,,,4.0,95.0,1.0,1.0
