Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,dislocated,flat,iobj,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
orv_rnc-ud-dev,943,0,613,8.0,1.0,1.0,3.0,,,,,1.0,,1.0,203,5.0,2.0,,354,11,4.0,,19,,
orv_rnc-ud-train,1868,0,1198,9.0,6.0,2.0,8.0,4.0,,1.0,,2.0,1.0,2.0,242,1.0,,3.0,832,34,2.0,,46,,3.0
orv_rnc-ud-test,717,0,542,10.0,9.0,,13.0,,,1.0,,,,1.0,83,,,1.0,399,13,2.0,,7,1.0,2.0
orv_ruthenian-ud-test,390,0,207,1.0,,,7.0,,,,,,,,11,,,,169,16,,1.0,2,,
orv_ruthenian-ud-train,2789,0,1195,8.0,9.0,1.0,38.0,3.0,1.0,,,,1.0,5.0,134,,,,950,6,14.0,1.0,22,,2.0
orv_ruthenian-ud-dev,344,0,74,,,,7.0,,,,,,,,6,,,,58,1,,,2,,
cu_proiel-ud-train,18327,0,3618,42.0,99.0,45.0,67.0,20.0,,,,5.0,2.0,,92,15.0,,6.0,2867,112,5.0,,175,1.0,65.0
cu_proiel-ud-test,2096,0,455,5.0,19.0,11.0,7.0,,,,,,,,11,,,,360,11,,,20,,11.0
cu_proiel-ud-dev,2205,0,492,10.0,18.0,2.0,5.0,,,,,,,,11,,,1.0,404,16,,,20,,5.0
orv_birchbark-ud-train,1045,0,60,,1.0,,,,,,2.0,,,,10,,1.0,,35,2,,,9,,
orv_birchbark-ud-dev,1062,0,114,,3.0,,1.0,,,,2.0,,,,11,,1.0,1.0,71,3,2.0,,19,,
orv_birchbark-ud-test,1007,0,114,,,,2.0,,,,,,,,20,1.0,1.0,1.0,70,4,1.0,,14,,
orv_torot-ud-test,2955,0,718,6.0,13.0,8.0,32.0,2.0,,,,3.0,1.0,,25,2.0,,,573,21,1.0,,21,,10.0
orv_torot-ud-dev,3061,0,564,3.0,9.0,5.0,25.0,2.0,,,,2.0,1.0,,13,1.0,2.0,,451,22,1.0,,19,,8.0
orv_torot-ud-train,20480,0,5475,37.0,77.0,43.0,204.0,9.0,,2.0,,13.0,7.0,,167,2.0,8.0,3.0,4401,151,,,283,,68.0
