Treebank,Number of Sentences,Failures,Total,_,advcl,appos,dep,nmod,nsubj,nummod,obj,obl,root
cs_pud-ud-test,1000,0,20,,,,,1.0,,,,19.0,
cs_cltt-ud-dev,316,0,1,,,,,1.0,,,,,
cs_cltt-ud-train,467,0,4,,,,,3.0,,,,1.0,
cs_fictree-ud-dev,1309,0,5,,,,,,,,,5.0,
cs_fictree-ud-train,10160,0,19,,,,,,,,,19.0,
cs_fictree-ud-test,1291,0,2,,,,,,,,,2.0,
cs_pdt-ud-test,10146,0,51,,,,,5.0,,1.0,,45.0,
cs_pdt-ud-dev,9270,0,46,,,,,3.0,,1.0,,42.0,
cs_pdt-ud-train,68491,0,306,3.0,,3.0,1.0,23.0,2.0,8.0,1.0,263.0,2.0
cs_cac-ud-dev,603,0,1,,,,,,,,,1.0,
cs_cac-ud-train,23478,0,69,,1.0,,,2.0,,,,66.0,
cs_cac-ud-test,628,0,2,,,,,,,,,2.0,
