Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,dep,obj,obl,parataxis,root,xcomp
sv_talbanken-ud-dev,504,0,0,,,,,,,,,,,,
is_gc-ud-test,540,0,1,,,,,,,,,1.0,,,
is_gc-ud-train,3960,0,12,,,1.0,,1.0,,,,10.0,,,
is_gc-ud-dev,500,0,2,,,,,,,,,2.0,,,
is_icepahc-ud-dev,4865,0,300,55.0,32.0,1.0,,23.0,1.0,,,126.0,,60.0,2.0
is_icepahc-ud-train,34007,0,1652,230.0,116.0,3.0,1.0,130.0,1.0,1.0,3.0,616.0,2.0,535.0,14.0
is_icepahc-ud-test,5157,0,338,53.0,34.0,1.0,,45.0,1.0,,,94.0,3.0,104.0,3.0
is_modern-ud-dev,394,0,17,5.0,3.0,,,4.0,,,,3.0,,1.0,1.0
is_modern-ud-train,2703,0,140,28.0,9.0,4.0,,11.0,,,,72.0,,11.0,5.0
is_modern-ud-test,438,0,21,1.0,2.0,1.0,,4.0,,,,8.0,1.0,3.0,1.0
