Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dislocated,list,mark,nmod,nsubj,nummod,obj,obl,parataxis,root,xcomp
en_partut-ud-dev,156,0,19,,1.0,,,,,,,,,8.0,,,,10.0,,,
en_partut-ud-train,1781,0,265,6.0,2.0,,1.0,1.0,,,,,,102.0,,,,150.0,,3.0,
en_partut-ud-test,153,0,22,,,,,1.0,,,,,,6.0,,,,15.0,,,
no_bokmaal-ud-train,15696,0,2,,,,,,,,,,,,,,,1.0,,1.0,
es_gsd-ud-test,426,0,1,,,,,,,,,,,,,,,1.0,,,
es_gsd-ud-dev,1400,0,1,,,,,,,,,,,1.0,,,,,,,
es_gsd-ud-train,14187,0,3,,,,,,,,,,,3.0,,,,,,,
cs_pud-ud-test,1000,0,1,,,,,,,,,,,1.0,,,,,,,
de_pud-ud-test,1000,0,1,,,,,,,,,,,,,,,1.0,,,
ga_twittirish-ud-dev,864,0,7,,,,,,,,,,,2.0,,,,3.0,1.0,,1.0
ga_twittirish-ud-test,866,0,5,,,,,,,,,,,3.0,,,,2.0,,,
ga_twittirish-ud-train,866,0,4,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,
es_pud-ud-test,1000,0,1,,,,,,,,,,,,,,,,,1.0,
en_atis-ud-test,586,0,179,,,,,,,,2.0,1.0,,118.0,,,,58.0,,,
en_atis-ud-train,4274,0,1337,1.0,,1.0,,,5.0,,3.0,14.0,,902.0,,,4.0,402.0,,4.0,1.0
en_atis-ud-dev,572,0,159,,,,,,,,,2.0,,107.0,,,,50.0,,,
id_gsd-ud-train,4482,0,1,,,,,,,,,,,1.0,,,,,,,
sv_lines-ud-test,1035,0,1,,,,,,,,,,,1.0,,,,,,,
en_gum-ud-train,9521,0,862,23.0,12.0,1.0,1.0,4.0,2.0,1.0,,,,215.0,,,,558.0,6.0,33.0,6.0
en_gum-ud-test,1285,0,147,3.0,1.0,,,1.0,,,,,,40.0,,,1.0,93.0,1.0,5.0,2.0
en_gum-ud-dev,1341,0,136,2.0,5.0,,1.0,1.0,,,,,,32.0,,,,85.0,2.0,7.0,1.0
en_lines-ud-train,3176,0,325,4.0,2.0,4.0,,4.0,1.0,,1.0,,,85.0,,,1.0,221.0,1.0,1.0,
en_lines-ud-dev,1032,0,121,,2.0,1.0,,,1.0,,,,,28.0,,,,89.0,,,
en_lines-ud-test,1035,0,90,,2.0,,,,,,,,,24.0,,,,61.0,,3.0,
ga_idt-ud-test,454,0,1,,,,,,,,,,,,,,,1.0,,,
en_ewt-ud-test,2077,0,147,2.0,2.0,,,1.0,1.0,,,,,58.0,,,,75.0,,6.0,2.0
en_ewt-ud-dev,2001,0,152,2.0,2.0,,,,1.0,,,,,45.0,1.0,,,88.0,1.0,11.0,1.0
en_ewt-ud-train,12544,0,1130,29.0,26.0,,1.0,10.0,3.0,1.0,,,,299.0,,,1.0,710.0,2.0,28.0,20.0
pcm_nsc-ud-dev,990,0,12,,,3.0,,,,,,,1.0,,,,,3.0,1.0,2.0,2.0
pcm_nsc-ud-train,7279,0,177,7.0,7.0,1.0,1.0,6.0,1.0,,1.0,,1.0,12.0,3.0,,,118.0,6.0,9.0,4.0
pcm_nsc-ud-test,972,0,24,1.0,2.0,,,,,,,,1.0,,,,,16.0,,3.0,1.0
gd_arcosg-ud-train,3541,0,1,,,,,,,,,,,,,,,1.0,,,
en_pronouns-ud-test,285,0,5,,,,,,,,,,,,,,,,,5.0,
pl_pud-ud-test,1000,0,1,,,,,,,,,,,1.0,,,,,,,
en_gentle-ud-test,1334,0,83,1.0,,,,,,,,,,28.0,,,,48.0,3.0,3.0,
en_pud-ud-test,1000,0,123,2.0,2.0,,,,,,,,,30.0,1.0,1.0,,82.0,,3.0,2.0
