Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,compound,dep,dislocated,nmod,nsubj,obl,parataxis,reparandum,root,xcomp
en_partut-ud-dev,156,0,1,,,,,,,,,,1.0,,,,
en_partut-ud-train,1781,0,1,,,,,,,,,,1.0,,,,
en_gum-ud-train,9521,0,7,,1.0,,,,1.0,,2.0,,2.0,1.0,,,
en_gum-ud-dev,1341,0,1,,,,,,,,,,1.0,,,,
en_lines-ud-train,3176,0,8,,,,,,,,,,8.0,,,,
en_lines-ud-dev,1032,0,2,,,,,,,,,,2.0,,,,
en_lines-ud-test,1035,0,3,,1.0,,,,,,1.0,,1.0,,,,
en_ewt-ud-test,2077,0,1,,,,,,,,,,,,,,1.0
en_ewt-ud-dev,2001,0,2,,,,,,,,1.0,,1.0,,,,
en_ewt-ud-train,12544,0,9,1.0,1.0,,,,,,3.0,,4.0,,,,
pcm_nsc-ud-dev,990,0,17,1.0,5.0,,,1.0,,,,,5.0,1.0,,2.0,2.0
pcm_nsc-ud-train,7279,0,211,2.0,4.0,1.0,5.0,1.0,1.0,1.0,21.0,1.0,112.0,3.0,4.0,22.0,33.0
pcm_nsc-ud-test,972,0,8,1.0,1.0,,,,,,1.0,,,,,1.0,4.0
en_gentle-ud-test,1334,0,4,,,,,,,,1.0,,2.0,,,1.0,
en_pud-ud-test,1000,0,1,,,,,,,,1.0,,,,,,
