Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,ccomp,cop,csubj,dep,mark,nmod,nsubj,nummod,obj,obl,parataxis,punct,root,xcomp
cs_pud-ud-test,1000,0,20,,,,,,,,,,,1.0,,,,19,,,,
cs_cltt-ud-dev,316,0,119,,,,,,,,,2.0,,43.0,,,,74,,,,
cs_cltt-ud-train,467,0,76,,,,,,,,,5.0,,30.0,,,,41,,,,
cs_cltt-ud-test,338,0,153,,,,,,,,,,,100.0,,,,53,,,,
cs_fictree-ud-dev,1309,0,8,,,,,,,,,,,,,,,8,,,,
cs_fictree-ud-train,10160,0,31,,,,,,,,,,,1.0,,,,30,,,,
cs_fictree-ud-test,1291,0,4,,,,,,,,,,,,,,,3,,,1.0,
cs_pdt-ud-test,10146,0,350,,,2.0,1.0,1.0,,,,4.0,,12.0,,,,325,,,5.0,
cs_pdt-ud-dev,9270,0,355,,,1.0,2.0,,,,,1.0,1.0,7.0,,,,333,,1.0,8.0,1.0
cs_pdt-ud-train,68491,0,2621,5.0,3.0,1.0,9.0,,3.0,1.0,1.0,20.0,1.0,66.0,1.0,4.0,1.0,2434,1.0,5.0,64.0,1.0
cs_cac-ud-dev,603,0,10,,,,,,,,,,,1.0,,,,9,,,,
cs_cac-ud-train,23478,0,625,,2.0,,23.0,1.0,1.0,,,7.0,,65.0,,1.0,,516,,,8.0,1.0
cs_cac-ud-test,628,0,18,,,,,,,,,,,4.0,,,,14,,,,
