Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,ccomp,csubj,fixed,iobj,nmod,nsubj,obj,obl,orphan,parataxis,root,xcomp
uk_iu-ud-train,5521,0,1,,,,,,,,,,,,1,,,,
ru_taiga-ud-train,16045,0,163,,3.0,2.0,1.0,1.0,,,,22.0,,,119,5.0,2.0,8.0,
ru_taiga-ud-dev,946,0,15,,,,,,,,,6.0,,,9,,,,
ru_taiga-ud-test,881,0,6,,,,,,,,,2.0,,,4,,,,
mk_mtb-ud-test,155,0,10,,,,,,1.0,,,1.0,,,7,,,1.0,
ru_syntagrus-ud-train,69630,0,507,1.0,7.0,3.0,,1.0,3.0,1.0,1.0,76.0,8.0,3.0,374,1.0,7.0,20.0,1.0
ru_syntagrus-ud-dev,8906,0,54,,,,,,,1.0,,6.0,1.0,,44,,2.0,,
ru_syntagrus-ud-test,8800,0,75,,2.0,1.0,,1.0,,1.0,,5.0,4.0,,53,,6.0,2.0,
ru_poetry-ud-test,728,0,12,,,,,,,,,1.0,,,11,,,,
ru_poetry-ud-dev,789,0,14,,,,,,,,,1.0,,,10,,1.0,2.0,
ru_poetry-ud-train,3569,0,51,,,1.0,,,,,,6.0,,,42,,,2.0,
ru_pud-ud-test,1000,0,32,,,,,,,,,4.0,,,28,,,,
ru_gsd-ud-test,601,0,6,,,,,,,,,1.0,,,5,,,,
ru_gsd-ud-dev,579,0,19,,,,,,,,,2.0,,,16,1.0,,,
ru_gsd-ud-train,3850,0,103,,,,,,,,,27.0,,,76,,,,
