Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,dep,list,mark,nmod,nummod,obl,parataxis,reparandum,root,xcomp
en_partut-ud-dev,156,0,1,,,,,,,,,,,,1.0,,,,
en_partut-ud-train,1781,0,44,1.0,8.0,,,,,,,1.0,4.0,1.0,29.0,,,,
en_partut-ud-test,153,0,10,,1.0,,,,,,,,,,9.0,,,,
ga_twittirish-ud-test,866,0,1,,,,,,,,,,,,,1.0,,,
en_atis-ud-test,586,0,22,,1.0,4.0,,,,,,,7.0,1.0,9.0,,,,
en_atis-ud-train,4274,0,201,1.0,,17.0,,,,,1.0,,53.0,3.0,126.0,,,,
en_atis-ud-dev,572,0,27,,,,,,1.0,,,,7.0,,19.0,,,,
en_gum-ud-train,9521,0,78,1.0,1.0,,,,1.0,,,,11.0,,64.0,,,,
en_gum-ud-test,1285,0,14,,,,,,,,,,3.0,,11.0,,,,
en_gum-ud-dev,1341,0,9,,,,,,,,,,1.0,1.0,7.0,,,,
en_lines-ud-train,3176,0,35,,4.0,1.0,,,,,,,11.0,,18.0,,,,1.0
en_lines-ud-dev,1032,0,8,,1.0,,,,,,,,,,7.0,,,,
en_lines-ud-test,1035,0,9,,,1.0,,,,,,,1.0,,6.0,,,1.0,
en_ewt-ud-test,2077,0,15,,,,,,,,,,,,15.0,,,,
en_ewt-ud-dev,2001,0,12,,,,,,,,,,2.0,,10.0,,,,
en_ewt-ud-train,12544,0,131,,,,,,,,,,24.0,1.0,105.0,,,1.0,
pcm_nsc-ud-dev,990,0,16,,5.0,,,,,,,,,,9.0,,1.0,1.0,
pcm_nsc-ud-train,7279,0,74,1.0,38.0,1.0,1.0,2.0,,1.0,,,1.0,,23.0,,1.0,5.0,
pcm_nsc-ud-test,972,0,6,,2.0,,,,,,,,,,4.0,,,,
en_pronouns-ud-test,285,0,5,,,,,,,,,,,,5.0,,,,
en_gentle-ud-test,1334,0,9,,,,,,,,,,1.0,,8.0,,,,
en_pud-ud-test,1000,0,26,,,,,,,,,,2.0,,23.0,,,1.0,
