Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,compound,csubj,dep,flat,iobj,nmod,nsubj,obj,obl,orphan,parataxis,reparandum,root,xcomp
de_hdt-ud-test,18459,0,3219,,,,,1.0,,,,,,1264,,124.0,1750,,43.0,,31.0,6.0
de_hdt-ud-train,153035,0,25124,4.0,1.0,,2.0,1.0,,1.0,,,,9885,1.0,996.0,13432,,465.0,,285.0,51.0
de_hdt-ud-dev,18434,0,2751,1.0,,,1.0,,,,,,,1092,,81.0,1516,,23.0,,30.0,7.0
de_pud-ud-test,1000,0,131,,,,,,,,,,,28,,,102,,1.0,,,
de_lit-ud-test,1920,0,203,,,,,1.0,,,,,,30,,2.0,163,3.0,1.0,,3.0,
de_gsd-ud-train,13814,0,2060,2.0,1.0,,,2.0,1.0,1.0,,3.0,,864,,,1154,,1.0,,29.0,2.0
de_gsd-ud-dev,799,0,104,,,,,,,,,,,43,,,57,,,,4.0,
de_gsd-ud-test,977,0,118,,,1.0,,2.0,,,2.0,,,39,,,70,,,,4.0,
qtd_sagt-ud-test,805,0,34,1.0,1.0,,1.0,,,,,,1.0,3,,,21,1.0,1.0,1.0,2.0,1.0
qtd_sagt-ud-dev,801,0,28,,,,,,,,,,3.0,3,,1.0,17,2.0,,,2.0,
qtd_sagt-ud-train,578,0,25,,,,1.0,,,,,,4.0,3,,3.0,13,,,1.0,,
