Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,dep,dislocated,flat,list,nmod,nsubj,nummod,obj,obl,orphan,parataxis,reparandum,root,xcomp
orv_rnc-ud-dev,943,0,51,2.0,,,,,,,,,,9,,,,36,4,,,,
orv_rnc-ud-train,1868,0,303,1.0,,1.0,2.0,1.0,,,,,,51,1.0,,1.0,190,46,,,9.0,
orv_rnc-ud-test,717,0,91,,1.0,,4.0,,,,,,,17,,,,63,4,,,2.0,
orv_ruthenian-ud-test,390,0,58,,,,4.0,,,,,,,6,,,1.0,30,14,,,3.0,
orv_ruthenian-ud-train,2789,0,348,,,,5.0,1.0,1.0,,1.0,,,107,,,,189,39,,,5.0,
orv_ruthenian-ud-dev,344,0,49,,,,1.0,,,,,,,15,,,1.0,20,8,,,4.0,
cu_proiel-ud-train,18327,0,1709,27.0,18.0,6.0,8.0,4.0,,1.0,4.0,7.0,,298,8.0,,31.0,1192,32,13.0,,49.0,11.0
cu_proiel-ud-test,2096,0,268,2.0,3.0,1.0,2.0,1.0,,,1.0,,,59,3.0,1.0,6.0,182,3,,,4.0,
cu_proiel-ud-dev,2205,0,199,2.0,,4.0,3.0,,,,1.0,1.0,,45,1.0,,6.0,130,3,,,3.0,
orv_birchbark-ud-train,1045,0,143,,,,2.0,,,2.0,,1.0,,55,,,,3,48,,,32.0,
orv_birchbark-ud-dev,1062,0,163,,,,3.0,,,,,9.0,1.0,53,,,,9,45,,1.0,42.0,
orv_birchbark-ud-test,1007,0,177,,,,3.0,,,,,3.0,,77,,1.0,,22,63,,,8.0,
orv_torot-ud-test,2955,0,247,8.0,4.0,3.0,4.0,,,,,,,36,,,2.0,174,5,,,10.0,1.0
orv_torot-ud-dev,3061,0,229,,1.0,1.0,5.0,1.0,,,2.0,1.0,,35,,,,177,4,,,2.0,
orv_torot-ud-train,20480,0,1475,15.0,13.0,12.0,22.0,1.0,,,4.0,2.0,,224,7.0,,10.0,1026,80,2.0,,53.0,4.0
