Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,discourse,iobj,nmod,obl,orphan,parataxis,root
orv_rnc-ud-train,1868,0,3,,,,,,1.0,1.0,,,1.0
ru_taiga-ud-train,16045,0,41,,,,,,18.0,18.0,,5.0,
ru_taiga-ud-dev,946,0,2,,,,,,,2.0,,,
ru_taiga-ud-test,881,0,5,,,,,,2.0,3.0,,,
ru_syntagrus-ud-train,69630,0,689,,1.0,,,,393.0,228.0,,39.0,28.0
ru_syntagrus-ud-dev,8906,0,72,,,2.0,,,37.0,30.0,,2.0,1.0
ru_syntagrus-ud-test,8800,0,71,1.0,,,,,31.0,29.0,,4.0,6.0
ru_poetry-ud-dev,789,0,1,,,,,,,1.0,,,
ru_poetry-ud-train,3569,0,11,,,,,,4.0,7.0,,,
ru_pud-ud-test,1000,0,25,,,,,,15.0,8.0,1.0,1.0,
orv_torot-ud-test,2955,0,2,,,,,,,1.0,,,1.0
orv_torot-ud-dev,3061,0,1,,,,,,,1.0,,,
orv_torot-ud-train,20480,0,0,,,,,,,,,,
ru_gsd-ud-test,601,0,2,,,,,,1.0,1.0,,,
ru_gsd-ud-dev,579,0,5,,,,,,4.0,1.0,,,
ru_gsd-ud-train,3850,0,53,,,,,,30.0,22.0,1.0,,
bg_btb-ud-train,8907,0,87,1.0,,,1.0,5.0,68.0,9.0,,,3.0
bg_btb-ud-test,1116,0,12,,,,,2.0,8.0,2.0,,,
bg_btb-ud-dev,1115,0,11,,,,,1.0,10.0,,,,
