Treebank,Number of Sentences,Failures,Total,acl,advcl,ccomp,csubj,discourse,nmod,nsubj,obl,root,xcomp
tr_pud-ud-test,1000,0,15,,11.0,,,,,,,,4.0
tr_atis-ud-train,4274,0,4,,1.0,,,,,,,,3.0
tr_kenet-ud-dev,1646,0,11,,4.0,,,1.0,1.0,,3.0,1.0,1.0
tr_kenet-ud-test,1643,0,3,,1.0,,,,,,,1.0,1.0
tr_kenet-ud-train,15398,0,38,,11.0,1.0,1.0,,1.0,1.0,12.0,2.0,9.0
tr_framenet-ud-dev,205,0,1,,,,,,,,,1.0,
tr_gb-ud-test,2880,0,4,1.0,2.0,,,,,,,1.0,
ota_boun-ud-test,400,0,6,,1.0,,,,,,5.0,,
ota_dudu-ud-test,85,0,1,,,,,,,,1.0,,
tr_tourism-ud-train,15473,0,5,,,,,,,,1.0,4.0,
tr_imst-ud-train,3435,0,16,,1.0,,,,12.0,,2.0,1.0,
tr_imst-ud-dev,1100,0,2,,,,,,2.0,,,,
tr_imst-ud-test,1100,0,1,,,,,,,,,1.0,
tr_boun-ud-dev,979,0,6,,1.0,1.0,,,,,3.0,1.0,
tr_boun-ud-test,979,0,3,,2.0,,,,,,1.0,,
tr_boun-ud-train,7803,0,43,1.0,20.0,,1.0,,2.0,,15.0,4.0,
tr_penn-ud-dev,622,0,3,,3.0,,,,,,,,
tr_penn-ud-test,924,0,3,,1.0,,,,,,,2.0,
tr_penn-ud-train,14850,0,55,1.0,27.0,,,,5.0,,15.0,2.0,5.0
