Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,cop,csubj,dep,discourse,expl,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,root,xcomp
es_gsd-ud-train,14187,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,
de_hdt-ud-test,18459,0,189,,,,,,,,,,,,,,,,150.0,,,,39.0,,,,,
de_hdt-ud-train,153035,0,1561,,,,,,,,,,,,,,,,1346.0,,,,215.0,,,,,
de_hdt-ud-dev,18434,0,150,,,,,,,,,,,,,,,,131.0,,,,19.0,,,,,
es_ancora-ud-train,14287,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
la_circse-ud-test,1263,0,13,,,1.0,,,,,,,,,,,,,,,,,10.0,1.0,,,1.0,
la_perseus-ud-test,939,0,8,,,,,,,,,,,,,,,,,,,,7.0,,,,1.0,
la_perseus-ud-train,1334,0,25,,,,,,,,,,,,,,,,1.0,,,,24.0,,,,,
cs_pud-ud-test,1000,0,71,,,,,,,,,,,,,,,,41.0,,,,28.0,,1.0,,1.0,
de_pud-ud-test,1000,0,10,,,,,,,,,2.0,,,,,,,3.0,,,,5.0,,,,,
ro_simonero-ud-test,491,0,1,,,,,,,,,,,,,,,,,1.0,,,,,,,,
ro_simonero-ud-train,3747,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,
lt_alksnis-ud-test,684,0,3,,,,,,,,,,,,,,,,,,,,3.0,,,,,
lt_alksnis-ud-dev,617,0,2,,,,,,,,,,,,,,,,,,,,2.0,,,,,
lt_alksnis-ud-train,2341,0,4,,,,,,,,,,,,,,,,,,,,4.0,,,,,
la_llct-ud-dev,850,0,42,,,1.0,,,,,,,,,,,,,1.0,,,,40.0,,,,,
la_llct-ud-test,884,0,42,,,,,,,,,,,,,,,,,,,,42.0,,,,,
la_llct-ud-train,7289,0,549,,,,,,,,,,,1.0,,,,,4.0,,,,541.0,,,,2.0,1.0
la_proiel-ud-test,1260,0,8,,,,,,,,,,,,,,,,,,,,6.0,,,,,2.0
la_proiel-ud-dev,1233,0,16,,,,,,,,,,,,,,,,,,,,11.0,2.0,1.0,,,2.0
la_proiel-ud-train,16196,0,195,,1.0,8.0,11.0,3.0,,,,,,,1.0,,,,4.0,1.0,,,148.0,4.0,,,8.0,6.0
cs_cltt-ud-dev,316,0,45,,,,1.0,,,,,,,,,,,,22.0,,,,22.0,,,,,
cs_cltt-ud-train,467,0,35,,,,,,,,,,,,1.0,,,,21.0,,,,13.0,,,,,
cs_cltt-ud-test,338,0,78,,,,,,,,,,,,,,,,24.0,,,,54.0,,,,,
nl_lassysmall-ud-train,13817,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,
cs_fictree-ud-dev,1309,0,28,,1.0,1.0,,1.0,,,,,,,,,,,8.0,,,,15.0,,,,2.0,
cs_fictree-ud-train,10160,0,198,,,,,,,,,,,,7.0,,,,37.0,,1.0,,147.0,,,,6.0,
cs_fictree-ud-test,1291,0,24,,,,,,,,1.0,,,,,,,,4.0,,,,18.0,,,,1.0,
la_udante-ud-train,926,0,47,,,4.0,,,,,,,,,,,,,,,,,42.0,1.0,,,,
la_udante-ud-test,419,0,5,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,
la_udante-ud-dev,376,0,14,,,1.0,,,,,,,,,,,,,,,,,12.0,1.0,,,,
de_gsd-ud-train,13814,0,33,,,,,,,,,2.0,,,,,,,25.0,,,,6.0,,,,,
de_gsd-ud-dev,799,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,
de_gsd-ud-test,977,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,
it_twittiro-ud-train,1138,0,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,
cs_pdt-ud-test,10146,0,530,2.0,,1.0,3.0,1.0,,3.0,,,1.0,,5.0,,,,243.0,1.0,1.0,2.0,256.0,,1.0,1.0,8.0,1.0
cs_pdt-ud-dev,9270,0,538,2.0,3.0,,1.0,3.0,,1.0,1.0,,3.0,,10.0,1.0,1.0,,253.0,,,2.0,245.0,,1.0,4.0,5.0,2.0
cs_pdt-ud-train,68491,0,3818,19.0,7.0,3.0,9.0,12.0,1.0,5.0,6.0,,1.0,,58.0,,,1.0,1875.0,9.0,15.0,12.0,1713.0,4.0,,9.0,53.0,6.0
it_postwita-ud-train,5368,0,2,,,,,,,,,,,,,,,,2.0,,,,,,,,,
la_ittb-ud-dev,2101,0,7,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,3.0
la_ittb-ud-test,2101,0,3,,,,,,,,,,,,,,,,,,,,3.0,,,,,
la_ittb-ud-train,22775,0,178,,,1.0,3.0,,,,,,,,,,,,6.0,,,,157.0,3.0,,,2.0,6.0
it_vit-ud-train,8277,0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,
it_vit-ud-dev,743,0,1,,,,,,,,,,,,,,,,,,,,,,,,1.0,
cs_cac-ud-dev,603,0,58,,,,,,,,,,,,,,,,33.0,,,,24.0,,,,1.0,
cs_cac-ud-train,23478,0,2209,,6.0,3.0,18.0,6.0,,,3.0,,,,28.0,,,,931.0,,1.0,1.0,1190.0,,2.0,,19.0,1.0
cs_cac-ud-test,628,0,25,,,,,,,,,,,,1.0,,,,10.0,,,,13.0,,,,1.0,
cs_poetry-ud-test,297,0,12,,,,,,,,,,,,,,,,2.0,,,1.0,9.0,,,,,
