Treebank,Number of Sentences,Failures,Total,acl,advcl,ccomp,compound,nmod,nsubj,obl,root,xcomp
zh_gsdsimp-ud-test,500,0,3,,1.0,,,1.0,,,,1.0
zh_gsdsimp-ud-train,3997,0,49,,2.0,6.0,,19.0,,9.0,1.0,12.0
zh_gsdsimp-ud-dev,500,0,6,1.0,,,,2.0,1.0,1.0,,1.0
zh_beginner-ud-test,2295,0,1,,,,,,,1.0,,
zh_gsd-ud-dev,500,0,6,1.0,,,,2.0,1.0,1.0,,1.0
zh_gsd-ud-test,500,0,3,,1.0,,,1.0,,,,1.0
zh_gsd-ud-train,3997,0,49,,2.0,6.0,,19.0,,9.0,1.0,12.0
yue_hk-ud-test,1004,0,1,,,,,,,1.0,,
zh_pud-ud-test,1000,0,23,,,,13.0,3.0,,3.0,,4.0
zh_hk-ud-test,1004,0,4,,3.0,,,,,1.0,,
zh_cfl-ud-test,451,0,5,,3.0,,,,,2.0,,
