Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,ccomp,csubj,dep,fixed,mark,nmod,nummod,obj,obl,orphan,parataxis,punct,root,xcomp
sl_ssj-ud-test,1282,0,15,,,,,,,,,,,4.0,,,11,,,,,
sl_ssj-ud-dev,1250,0,19,,,2.0,,,,,,,,6.0,,,11,,,,,
sl_ssj-ud-train,10903,0,148,,,,,4.0,,,,,,31.0,,,110,2.0,,,1.0,
pl_pdb-ud-test,2215,0,47,,,,,,,,,,,12.0,,,35,,,,,
pl_pdb-ud-train,17722,0,309,,,,,,,,,,,47.0,,,259,1.0,1.0,,1.0,
pl_pdb-ud-dev,2215,0,47,,,,,,,,,,,9.0,,,38,,,,,
hr_set-ud-dev,960,0,8,,,,,,,,,,,1.0,,,6,,,,1.0,
hr_set-ud-train,6914,0,81,,1.0,,,,,,,,,25.0,,,45,,,,10.0,
hr_set-ud-test,1136,0,18,,1.0,,,,,,,,,7.0,,,8,,,,2.0,
sk_snk-ud-dev,1060,0,6,,,,1.0,,,,,,,2.0,,,3,,,,,
sk_snk-ud-test,1061,0,12,,,,,,,,,,,1.0,,,11,,,,,
sk_snk-ud-train,8483,0,52,,,,,,,,,,,9.0,,,42,,,,1.0,
cs_pud-ud-test,1000,0,15,,,1.0,,,1.0,,,,,4.0,,,6,,,,1.0,2.0
hsb_ufal-ud-test,623,0,13,,,,,,,,,,,3.0,,,10,,,,,
hsb_ufal-ud-train,23,0,1,,,,,,,,,,,,,,1,,,,,
sr_set-ud-test,520,0,8,,,,,,,,,,,1.0,,,5,,,,2.0,
sr_set-ud-train,3328,0,48,,1.0,,,,,,,,,9.0,,1.0,33,,,,4.0,
sr_set-ud-dev,536,0,3,,,,,,,,,,,1.0,,,1,,,,1.0,
cs_cltt-ud-dev,316,0,10,,,,,,,,,,,8.0,,,2,,,,,
cs_cltt-ud-train,467,0,11,,,,,,,,,,,10.0,,,1,,,,,
cs_cltt-ud-test,338,0,9,,,,,,,,,,,5.0,,,4,,,,,
cs_fictree-ud-dev,1309,0,9,,,,,,,,,,,1.0,,,7,,,,1.0,
cs_fictree-ud-train,10160,0,83,,1.0,1.0,,,1.0,,1.0,,,17.0,,,59,,,,3.0,
cs_fictree-ud-test,1291,0,17,,,,,,1.0,,,,,6.0,,,10,,,,,
sl_sst-ud-train,4558,0,11,,,,,,,,,,,3.0,,,6,,1.0,,1.0,
sl_sst-ud-test,1041,0,5,,,,,1.0,,,,,,,,,3,,,,1.0,
sl_sst-ud-dev,505,0,4,,,,,,,,,,,2.0,,,2,,,,,
cs_pdt-ud-test,10146,0,56,4.0,,,,,,,1.0,,,13.0,1.0,2.0,32,,,,3.0,
cs_pdt-ud-dev,9270,0,73,2.0,4.0,,,,,1.0,2.0,,,17.0,2.0,,42,,,,2.0,1.0
cs_pdt-ud-train,68491,0,473,15.0,10.0,,1.0,,2.0,,13.0,1.0,1.0,115.0,3.0,1.0,299,,,1.0,10.0,1.0
pl_pud-ud-test,1000,0,26,,,,,,1.0,,,,,7.0,,,18,,,,,
cs_cac-ud-dev,603,0,5,,,,,,,,,,,1.0,,,4,,,,,
cs_cac-ud-train,23478,0,250,,2.0,,4.0,2.0,1.0,,3.0,,,58.0,,,168,,,,6.0,6.0
cs_cac-ud-test,628,0,4,,,,,,,,,,,1.0,,,3,,,,,
pl_lfg-ud-test,1727,0,6,,,,,,,,,,,1.0,,,5,,,,,
pl_lfg-ud-train,13774,0,92,,,,,,,,,,,17.0,,,73,,,,2.0,
pl_lfg-ud-dev,1745,0,13,,,,,,,,,,,5.0,,,8,,,,,
cs_poetry-ud-test,297,0,9,,,,,,,,,,,,,,8,1.0,,,,
