Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,csubj,dep,discourse,dislocated,expl,fixed,flat,iobj,list,mark,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,root,xcomp
xav_xdt-ud-test,171,0,11,,,1.0,,,,,,,,,2.0,,,,,,,,,,,8.0,,,,,
pl_pdb-ud-test,2215,0,8,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,
pl_pdb-ud-train,17722,0,150,,,,,,,,,,,,,,,,,,,31.0,,,,117.0,,1.0,,,1.0
pl_pdb-ud-dev,2215,0,16,,,,,,,,,,,,,,,,,,,4.0,,,,11.0,,1.0,,,
hr_set-ud-dev,960,0,627,,4.0,4.0,,2.0,,,,1.0,,3.0,,,,,,,,195.0,,1.0,,407.0,3.0,3.0,,4.0,
hr_set-ud-train,6914,0,4431,,34.0,18.0,3.0,3.0,,,17.0,1.0,,11.0,,,,11.0,,1.0,,1444.0,3.0,5.0,8.0,2767.0,11.0,42.0,,50.0,2.0
hr_set-ud-test,1136,0,719,,2.0,2.0,2.0,2.0,,,2.0,,,4.0,,,,1.0,,,,244.0,,1.0,,428.0,3.0,12.0,,15.0,1.0
qpm_philotis-ud-train,980,0,14,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,
qpm_philotis-ud-dev,635,0,7,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,
qpm_philotis-ud-test,635,0,11,,,,,,,,,,,,,,,,,,,,1.0,,,9.0,,1.0,,,
sk_snk-ud-dev,1060,0,2,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,
sk_snk-ud-test,1061,0,3,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
sk_snk-ud-train,8483,0,31,,,,,,,,,,1.0,,,,,,,,,1.0,,,,29.0,,,,,
cs_pud-ud-test,1000,0,14,,,,,1.0,,,,,,,,,,,,,,5.0,,,,7.0,,,,1.0,
ga_twittirish-ud-dev,864,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
sr_set-ud-test,520,0,400,,,2.0,,1.0,,,1.0,,,1.0,,,,,,,,131.0,,,,250.0,1.0,4.0,,9.0,
sr_set-ud-train,3328,0,2377,,16.0,15.0,,,,,14.0,,,3.0,,,,2.0,,,,763.0,2.0,1.0,2.0,1491.0,3.0,31.0,,33.0,1.0
sr_set-ud-dev,536,0,373,,1.0,3.0,,1.0,,,1.0,2.0,,,,,,,,,,100.0,,,,256.0,,7.0,,2.0,
it_isdt-ud-train,13121,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
cs_cltt-ud-dev,316,0,23,,,,,,,,,,,,,,,,,,,5.0,,,,18.0,,,,,
cs_cltt-ud-train,467,0,41,,,,,,,,,,2.0,,,,,,,,,11.0,,,,28.0,,,,,
cs_cltt-ud-test,338,0,26,,,,,,,,,,2.0,,,,,,,,,10.0,,,,14.0,,,,,
ota_boun-ud-test,400,0,2,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,
cs_fictree-ud-dev,1309,0,38,,1.0,1.0,,,,,,,,,,,,,,,,11.0,,,,24.0,,,,1.0,
cs_fictree-ud-train,10160,0,175,,1.0,,,2.0,,,2.0,,6.0,,,,,,,,,31.0,,,,123.0,,,,10.0,
cs_fictree-ud-test,1291,0,17,,,,,,,,,,,,,,,,,,,5.0,,,,11.0,,,,1.0,
cs_pdt-ud-test,10146,0,187,1.0,1.0,1.0,,,,,1.0,,6.0,,,,,,,,,45.0,,,,126.0,,,3.0,3.0,
cs_pdt-ud-dev,9270,0,230,5.0,1.0,1.0,,2.0,,1.0,1.0,,7.0,,,,,,,,1.0,57.0,,,,144.0,,,4.0,6.0,
cs_pdt-ud-train,68491,0,1583,9.0,14.0,10.0,9.0,8.0,2.0,2.0,6.0,2.0,49.0,,,2.0,1.0,,,,5.0,385.0,1.0,2.0,,1009.0,3.0,4.0,8.0,47.0,5.0
pl_pud-ud-test,1000,0,6,,,,,,,,,,,,,,,,,,,1.0,,,,5.0,,,,,
cs_cac-ud-dev,603,0,17,,,,,,,,,,,,,,,,,,,3.0,,,,13.0,,1.0,,,
cs_cac-ud-train,23478,0,976,,7.0,12.0,3.0,12.0,,,5.0,,58.0,,,,,,,,,225.0,,,,620.0,,,,31.0,3.0
cs_cac-ud-test,628,0,18,,1.0,,,,,,,1.0,1.0,,,,,,,,,4.0,,,,11.0,,,,,
pl_lfg-ud-test,1727,0,7,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,3.0,
pl_lfg-ud-train,13774,0,63,,,,,,,,1.0,,,,,,,,,,,5.0,,,,48.0,,,,9.0,
pl_lfg-ud-dev,1745,0,9,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,,2.0,
cs_poetry-ud-test,297,0,5,,,,,,,,,,,,,,,,,,,1.0,,,,4.0,,,,,
