Treebank,Number of Sentences,Failures,Total,_,advmod,appos,csubj,dep,nmod,nummod,obl,root
cs_pud-ud-test,1000,0,8,,,,,,2.0,,6.0,
cs_cltt-ud-dev,316,0,1,,,,,,,,1.0,
cs_cltt-ud-train,467,0,4,,,,,,,,4.0,
cs_cltt-ud-test,338,0,8,,,,,,6.0,,2.0,
cs_fictree-ud-dev,1309,0,1,,,,,,,,1.0,
cs_fictree-ud-train,10160,0,11,,,,,,1.0,,8.0,2.0
cs_pdt-ud-test,10146,0,47,,,1.0,,1.0,2.0,,40.0,3.0
cs_pdt-ud-dev,9270,0,46,1.0,,,,,,1.0,41.0,3.0
cs_pdt-ud-train,68491,0,307,,,,1.0,7.0,13.0,,279.0,7.0
cs_cac-ud-dev,603,0,2,,,,,,,,2.0,
cs_cac-ud-train,23478,0,127,,1.0,,,2.0,4.0,,116.0,4.0
cs_cac-ud-test,628,0,2,,,,,1.0,1.0,,,
