Treebank,Number of Sentences,Failures,Total,advcl,advmod,discourse,nmod,obl,root
tr_pud-ud-test,1000,0,11,7.0,,,,4.0,
tr_kenet-ud-dev,1646,0,4,1.0,,,,3.0,
tr_kenet-ud-test,1643,0,5,1.0,,1.0,,3.0,
tr_kenet-ud-train,15398,0,22,5.0,,,1.0,16.0,
tr_framenet-ud-train,2288,0,1,,,,,1.0,
tr_framenet-ud-dev,205,0,1,1.0,,,,,
tr_gb-ud-test,2880,0,5,2.0,,,,3.0,
ota_boun-ud-test,400,0,3,1.0,,,,2.0,
qtd_sagt-ud-test,805,0,1,,,,,,1.0
tr_tourism-ud-train,15473,0,9,3.0,,,3.0,1.0,2.0
tr_tourism-ud-dev,2166,0,1,1.0,,,,,
tr_imst-ud-train,3435,0,7,4.0,1.0,,1.0,1.0,
tr_imst-ud-dev,1100,0,1,1.0,,,,,
tr_imst-ud-test,1100,0,2,1.0,1.0,,,,
tr_boun-ud-dev,979,0,0,,,,,,
tr_boun-ud-test,979,0,5,2.0,,,,3.0,
tr_boun-ud-train,7803,0,31,8.0,3.0,,2.0,18.0,
tr_penn-ud-test,924,0,4,2.0,,,2.0,,
tr_penn-ud-train,14850,0,75,24.0,,2.0,17.0,32.0,
