Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,ccomp,csubj,dislocated,nmod,nsubj,nummod,obj,obl,parataxis,root,xcomp
en_partut-ud-train,1781,0,25,,1.0,,1.0,,,,,6.0,,,,17.0,,,
no_bokmaal-ud-dev,2409,0,40,,1.0,6.0,,,,,,8.0,,6.0,,17.0,,2.0,
no_bokmaal-ud-test,1939,0,44,,2.0,5.0,,,1.0,,,6.0,2.0,8.0,,20.0,,,
no_bokmaal-ud-train,15696,0,375,,8.0,29.0,3.0,,4.0,,1.0,69.0,4.0,48.0,4.0,192.0,,7.0,6.0
no_nynorsk-ud-dev,1890,0,39,,2.0,5.0,,,,,,6.0,,9.0,,14.0,,2.0,1.0
no_nynorsk-ud-test,1511,0,56,,,3.0,1.0,,,,,12.0,,9.0,,31.0,,,
no_nynorsk-ud-train,14174,0,345,,11.0,24.0,3.0,1.0,1.0,,,94.0,,22.0,1.0,172.0,1.0,15.0,
de_pud-ud-test,1000,0,1,,,,,,,,,1.0,,,,,,,
es_pud-ud-test,1000,0,1,,,,,1.0,,,,,,,,,,,
en_atis-ud-train,4274,0,6,,,,,,,,,,,,,6.0,,,
en_atis-ud-dev,572,0,1,,1.0,,,,,,,,,,,,,,
en_gum-ud-train,9521,0,130,,5.0,3.0,1.0,,2.0,,,35.0,,1.0,,64.0,,15.0,4.0
en_gum-ud-test,1285,0,23,,1.0,1.0,,,,,,3.0,,,,11.0,,5.0,2.0
en_gum-ud-dev,1341,0,32,,1.0,3.0,,,,,,5.0,,,,21.0,,1.0,1.0
it_isdt-ud-train,13121,0,1,,,,,,,,,1.0,,,,,,,
en_lines-ud-train,3176,0,48,,1.0,1.0,,,,,,7.0,,,,38.0,,,1.0
en_lines-ud-dev,1032,0,13,,,,,,,,,3.0,,,,10.0,,,
en_lines-ud-test,1035,0,14,,,,,,,,,4.0,,,,10.0,,,
en_ewt-ud-test,2077,0,11,,,,,,,,,1.0,,,,9.0,,1.0,
en_ewt-ud-dev,2001,0,9,,,1.0,,,,,,,,,,8.0,,,
en_ewt-ud-train,12544,0,122,,4.0,2.0,,,2.0,1.0,,33.0,,,,75.0,,4.0,1.0
sv_pud-ud-test,1000,0,1,,,,,,,,,,,,,1.0,,,
nl_lassysmall-ud-test,1761,0,36,,,1.0,,,,,,13.0,,,,16.0,,6.0,
nl_lassysmall-ud-dev,1542,0,50,,1.0,1.0,,,,,,20.0,,,,24.0,1.0,3.0,
nl_lassysmall-ud-train,13817,0,479,,7.0,12.0,,,2.0,,,178.0,,1.0,,217.0,3.0,50.0,9.0
da_ddt-ud-train,4383,0,123,,6.0,10.0,5.0,,1.0,,,38.0,1.0,1.0,2.0,58.0,,1.0,
da_ddt-ud-test,565,0,18,,,,1.0,,,,,4.0,,,,13.0,,,
da_ddt-ud-dev,564,0,22,,2.0,,,,,,,7.0,,1.0,,12.0,,,
pcm_nsc-ud-dev,990,0,3,,,,,,,,,3.0,,,,,,,
pcm_nsc-ud-train,7279,0,15,,2.0,2.0,,,1.0,,,1.0,,1.0,,6.0,,2.0,
pcm_nsc-ud-test,972,0,3,,,1.0,,,,,,,,,,1.0,,1.0,
nl_alpino-ud-train,12289,0,508,1.0,5.0,13.0,,1.0,3.0,1.0,,184.0,2.0,,,263.0,4.0,27.0,4.0
nl_alpino-ud-test,596,0,32,,,,,,,,,20.0,,,,10.0,,2.0,
nl_alpino-ud-dev,718,0,31,,,,,,,,,13.0,,,,16.0,,1.0,1.0
en_gentle-ud-test,1334,0,7,,,,,,,,,2.0,,,,4.0,1.0,,
en_pud-ud-test,1000,0,14,,,,,1.0,,,,3.0,,,,7.0,,3.0,
