Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,mark,nmod,obj,obl,orphan,parataxis,reparandum,root,vocative,xcomp
frm_profiterole-ud-test,512,0,11,,2.0,,,,,,8.0,,,,,,1.0
fr_pud-ud-test,1000,0,20,,7.0,,,,2.0,,10.0,,,,,,1.0
fr_fqb-ud-test,2289,0,3,,1.0,,,,1.0,,1.0,,,,,,
fr_gsd-ud-test,416,0,6,,,,,,4.0,,1.0,,,,1.0,,
fr_gsd-ud-train,14450,0,189,5.0,50.0,1.0,2.0,,54.0,,62.0,1.0,2.0,,10.0,,2.0
fr_gsd-ud-dev,1476,0,16,,6.0,,,,3.0,,5.0,,,,2.0,,
fr_rhapsodie-ud-train,1288,0,7,,2.0,,,,3.0,,2.0,,,,,,
fr_rhapsodie-ud-dev,1081,0,5,,,1.0,,,,,3.0,,,1.0,,,
fr_rhapsodie-ud-test,840,0,4,,1.0,,,,1.0,,1.0,,,1.0,,,
fr_parisstories-ud-dev,692,0,7,,,,,,1.0,,6.0,,,,,,
fr_parisstories-ud-train,1387,0,8,1.0,3.0,,,,,1.0,3.0,,,,,,
fr_parisstories-ud-test,697,0,3,,1.0,,,,,,2.0,,,,,,
fro_profiterole-ud-train,15503,0,63,,9.0,1.0,,,6.0,,47.0,,,,,,
qaf_arabizi-ud-train,1003,0,5,,,,,,3.0,,1.0,,,,,1.0,
qaf_arabizi-ud-test,145,0,3,,,,,,2.0,,1.0,,,,,,
qaf_arabizi-ud-dev,139,0,2,,,,,,,,2.0,,,,,,
fr_partut-ud-test,110,0,3,,1.0,,,,,,2.0,,,,,,
fr_partut-ud-train,803,0,12,,,,,,,,11.0,,,,1.0,,
fr_sequoia-ud-test,456,0,3,,1.0,,,,2.0,,,,,,,,
fr_sequoia-ud-train,2231,0,28,1.0,7.0,,,1.0,5.0,,13.0,,,,,,1.0
fr_sequoia-ud-dev,412,0,7,,3.0,,,,1.0,,2.0,,1.0,,,,
