Treebank,Number of Sentences,Failures,Total,acl,advcl,ccomp,nmod,obl,root,xcomp
en_partut-ud-train,1781,0,15,1.0,1.0,,2.0,10.0,1.0,
en_partut-ud-test,153,0,1,,,,,1.0,,
es_gsd-ud-train,14187,0,1,,,,1.0,,,
en_gum-ud-train,9521,0,31,,2.0,,3.0,24.0,1.0,1.0
en_gum-ud-test,1285,0,3,,,,,3.0,,
en_gum-ud-dev,1341,0,6,,,,1.0,5.0,,
it_isdt-ud-train,13121,0,3,,,,3.0,,,
en_lines-ud-train,3176,0,17,2.0,,,2.0,12.0,1.0,
en_lines-ud-dev,1032,0,2,,1.0,,,1.0,,
en_lines-ud-test,1035,0,6,,,,,5.0,,1.0
en_ewt-ud-test,2077,0,3,1.0,,,,2.0,,
en_ewt-ud-dev,2001,0,8,,,,2.0,6.0,,
en_ewt-ud-train,12544,0,31,1.0,,1.0,6.0,23.0,,
it_partut-ud-train,1781,0,3,,,,2.0,1.0,,
pcm_nsc-ud-train,7279,0,5,,1.0,,,2.0,,2.0
pcm_nsc-ud-test,972,0,1,,,,,,1.0,
en_gentle-ud-test,1334,0,15,,,,3.0,9.0,3.0,
en_pud-ud-test,1000,0,4,,,,,3.0,1.0,
