Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,ccomp,dep,nmod,obl,parataxis,root,xcomp
is_pud-ud-test,1000,0,6,,,,,,2.0,1,,3.0,
is_gc-ud-test,540,0,1,,,,,,,1,,,
is_gc-ud-train,3960,0,17,,,,,,,14,,2.0,1.0
is_gc-ud-dev,500,0,3,,,,,,,2,,1.0,
is_icepahc-ud-dev,4865,0,23,,,,2.0,,,20,1.0,,
is_icepahc-ud-train,34007,0,113,1.0,1.0,,,1.0,,97,1.0,12.0,
is_icepahc-ud-test,5157,0,45,,1.0,,,,,41,,3.0,
is_modern-ud-dev,394,0,7,1.0,,,,,,5,,1.0,
is_modern-ud-train,2703,0,48,1.0,,5.0,2.0,,,38,1.0,1.0,
is_modern-ud-test,438,0,13,,,,,,,10,2.0,1.0,
