Treebank,Number of Sentences,Failures,Total,acl,advcl,ccomp,flat,iobj,nmod,nsubj,nummod,obj,obl,root
tr_pud-ud-test,1000,0,17,,,,,,12.0,1.0,,,4.0,
tr_kenet-ud-dev,1646,0,8,,,,,,,,,,8.0,
tr_kenet-ud-test,1643,0,7,1.0,,,,,1.0,,,,5.0,
tr_kenet-ud-train,15398,0,40,,1.0,,,,1.0,,,1.0,36.0,1.0
tr_framenet-ud-test,205,0,1,,,,,,,,,,1.0,
tr_framenet-ud-train,2288,0,4,,,,,,,,,,4.0,
tr_gb-ud-test,2880,0,4,,,,,,,,,,2.0,2.0
ota_boun-ud-train,114,0,1,,,,,,,,,,1.0,
ota_boun-ud-test,400,0,3,,,,,,,,,,3.0,
qtd_sagt-ud-dev,801,0,1,,,,,,,,,,1.0,
qtd_sagt-ud-train,578,0,1,,,,,,1.0,,,,,
tr_imst-ud-train,3435,0,9,,,,,2.0,1.0,,,,6.0,
tr_imst-ud-dev,1100,0,6,,,,,,2.0,,2.0,,2.0,
tr_boun-ud-dev,979,0,4,,,,,,,,,,3.0,1.0
tr_boun-ud-test,979,0,3,,1.0,,,,,,,,1.0,1.0
tr_boun-ud-train,7803,0,53,1.0,4.0,1.0,,,5.0,,,1.0,36.0,5.0
tr_penn-ud-dev,622,0,2,,1.0,,,,1.0,,,,,
tr_penn-ud-test,924,0,2,,,,,,1.0,,,,1.0,
tr_penn-ud-train,14850,0,56,,1.0,1.0,1.0,,23.0,1.0,,1.0,25.0,3.0
