Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,ccomp,csubj,iobj,nmod,nsubj,obj,obl,orphan,parataxis,root,vocative,xcomp
ro_nonstandard-ud-test,1052,0,17,,1.0,1.0,,,,,3,,,10,,1.0,1.0,,
ro_nonstandard-ud-dev,1052,0,14,,,1.0,1.0,,,,1,,,9,,,,,2.0
ro_nonstandard-ud-train,24121,0,860,7.0,28.0,59.0,,4.0,4.0,1.0,163,3.0,2.0,555,1.0,2.0,20.0,1.0,10.0
ro_simonero-ud-test,491,0,13,,,,,,,,9,,,4,,,,,
ro_simonero-ud-train,3747,0,73,,12.0,,,,,,40,,,20,,,1.0,,
ro_simonero-ud-dev,443,0,17,,1.0,,,,,,10,,,6,,,,,
ro_tuecl-ud-test,210,0,5,,1.0,,,,,,2,,,1,,1.0,,,
ro_rrt-ud-test,729,0,15,,8.0,,,,,,3,,,4,,,,,
ro_rrt-ud-train,8043,0,162,2.0,63.0,,,1.0,,,43,,1.0,45,,,7.0,,
ro_rrt-ud-dev,752,0,12,,3.0,,,,,,3,,,4,,,1.0,,1.0
