Treebank,Number of Sentences,Failures,Total,_,acl,advcl,advmod,appos,aux,cc,ccomp,compound,cop,csubj,dep,iobj,nmod,nsubj,nummod,obj,obl,orphan,parataxis,punct,root,xcomp
es_gsd-ud-test,426,0,3,,,,,,,,,,,,,,,,,,3.0,,,,,
es_gsd-ud-dev,1400,0,11,,,,,,,,,,,,,,4.0,,,,7.0,,,,,
es_gsd-ud-train,14187,0,160,,,,,,,,,,,,,,79.0,,,1.0,80.0,,,,,
pt_porttinari-ud-train,5893,0,82,,2.0,,,,,,,,,,,,49.0,,,,29.0,,1.0,,1.0,
pt_porttinari-ud-test,1683,0,19,,,,,,,,,,,,,,11.0,,,,7.0,,,,1.0,
pt_porttinari-ud-dev,842,0,13,,,,,,,,,,,,,,4.0,,,,7.0,,,,1.0,1.0
es_ancora-ud-train,14287,0,262,,3.0,4.0,1.0,,1.0,,1.0,,1.0,1.0,,,135.0,1.0,1.0,2.0,106.0,,,2.0,2.0,1.0
es_ancora-ud-test,1721,0,30,1.0,,,,,,,,,,,,,15.0,,,1.0,13.0,,,,,
es_ancora-ud-dev,1654,0,55,,,,1.0,,,1.0,,1.0,,,,,27.0,,1.0,,21.0,,,1.0,2.0,
la_circse-ud-test,1263,0,2,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
la_perseus-ud-test,939,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,
la_perseus-ud-train,1334,0,13,,,,,,,,,,,,,,1.0,,,,12.0,,,,,
gl_treegal-ud-train,600,0,4,,,,1.0,,,,,,,,,,1.0,,,,2.0,,,,,
gl_treegal-ud-test,400,0,6,,,,,,,,,,,,,,5.0,,,,1.0,,,,,
gl_ctg-ud-dev,860,0,10,,,,,,,,,,,,,,7.0,,,,3.0,,,,,
gl_ctg-ud-test,861,0,8,,,,,,,,,,,,,,4.0,,,,4.0,,,,,
gl_ctg-ud-train,2272,0,24,,,,,,,,1.0,,,,,,18.0,,,,5.0,,,,,
pt_petrogold-ud-train,7170,0,1,,,,,,,,,,,,,,1.0,,,,,,,,,
pt_petrogold-ud-test,1039,0,2,,,,,,,,,,,,,,,,,,2.0,,,,,
pt_petrogold-ud-dev,737,0,5,,,,,,,,,,,,,,3.0,,,,2.0,,,,,
pt_gsd-ud-dev,1204,0,3,,,,,,,,,,,,,,2.0,,,,1.0,,,,,
pt_gsd-ud-train,9616,0,37,,,2.0,,,,,,,,,,,24.0,,,,11.0,,,,,
la_llct-ud-dev,850,0,2,,,,,,,,,,,,,,,,,,2.0,,,,,
la_llct-ud-train,7289,0,25,,,,,,,,,,,,,,,,,,25.0,,,,,
es_pud-ud-test,1000,0,11,,,,,,,,,,,,,,4.0,,,,7.0,,,,,
it_valico-ud-test,398,0,2,,,,,,,,,,,,,,,,,,2.0,,,,,
la_proiel-ud-test,1260,0,4,,,,1.0,,,,,,,,,,,,,,2.0,,,,1.0,
la_proiel-ud-dev,1233,0,4,,1.0,,,,,,,,,,,,,,,,3.0,,,,,
la_proiel-ud-train,16196,0,66,,4.0,2.0,2.0,1.0,,,,,,,,,4.0,,,,49.0,1.0,,,3.0,
pt_cintil-ud-test,3840,0,45,,,,,,,,1.0,,,,1.0,,,,,,38.0,,3.0,,2.0,
pt_cintil-ud-dev,3840,0,18,,,,,,,,,,,,,,,,,,15.0,,,,3.0,
pt_cintil-ud-train,30720,0,343,,,1.0,,,,,1.0,,,,8.0,,,,,2.0,205.0,,1.0,,125.0,
pt_bosque-ud-dev,1172,0,12,,,,,,,,,,,,,1.0,6.0,,,,5.0,,,,,
pt_bosque-ud-test,1167,0,17,,,,,,,,,,,,,,10.0,,,1.0,6.0,,,,,
pt_bosque-ud-train,7018,0,101,,,,,1.0,,,,,,,,1.0,65.0,,1.0,1.0,31.0,,,,1.0,
de_lit-ud-test,1920,0,1,,,,,,,,,,,,,,1.0,,,,,,,,,
la_udante-ud-train,926,0,20,,2.0,1.0,,,,,,,,1.0,,,3.0,,,,12.0,,,,1.0,
la_udante-ud-test,419,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,
la_udante-ud-dev,376,0,12,,,,,,,,,,,,,,,,,,12.0,,,,,
ro_rrt-ud-test,729,0,1,,,,,,,,,,,,,,1.0,,,,,,,,,
ro_rrt-ud-train,8043,0,3,,,,,,,,,,,,,,2.0,,,,1.0,,,,,
ca_ancora-ud-dev,1709,0,31,,,,1.0,,,,1.0,,,,,,14.0,,,,15.0,,,,,
ca_ancora-ud-test,1846,0,32,,,,,,,,,,,,,,18.0,,,,14.0,,,,,
ca_ancora-ud-train,13123,0,205,,1.0,,,,,,,,,,,,119.0,,1.0,1.0,81.0,,,,2.0,
gl_pud-ud-test,1000,0,19,,,,,,,,,,,,,,9.0,,,,9.0,,,,,1.0
la_ittb-ud-dev,2101,0,19,,,,,,,,,,,,,,2.0,,,,11.0,,,,6.0,
la_ittb-ud-test,2101,0,4,,,,,,,,,,,,,,,,,,2.0,,,,2.0,
la_ittb-ud-train,22775,0,239,,3.0,9.0,,,,,2.0,2.0,,3.0,,,11.0,,,,121.0,,,,88.0,
es_coser-ud-test,539,0,1,,,,,,,,,,,,,,,,,,1.0,,,,,
