Treebank,Number of Sentences,Failures,Total,acl,advcl,advmod,appos,dislocated,nmod,obl,orphan,root,xcomp
orv_rnc-ud-dev,943,0,1,,,,,,,1.0,,,
orv_rnc-ud-train,1868,0,14,1.0,,,,,6.0,4.0,,2.0,1.0
orv_rnc-ud-test,717,0,2,,,,,,1.0,1.0,,,
orv_ruthenian-ud-test,390,0,8,,,,,,,8.0,,,
orv_ruthenian-ud-train,2789,0,16,,,,3.0,,4.0,8.0,1.0,,
cu_proiel-ud-train,18327,0,51,1.0,,2.0,,,2.0,29.0,2.0,12.0,3.0
cu_proiel-ud-test,2096,0,8,,,,,1.0,1.0,5.0,,1.0,
cu_proiel-ud-dev,2205,0,6,,1.0,,,,1.0,3.0,,1.0,
orv_birchbark-ud-train,1045,0,1,,,,,,,,,1.0,
orv_birchbark-ud-test,1007,0,1,,,,,,,1.0,,,
orv_torot-ud-test,2955,0,15,1.0,,,,,3.0,11.0,,,
orv_torot-ud-dev,3061,0,9,,,,,,2.0,7.0,,,
orv_torot-ud-train,20480,0,78,2.0,1.0,,3.0,,5.0,59.0,4.0,4.0,
